GeneID,A,B,C,D
ENSMUSG00000000001,1423,1413,1681,2392
ENSMUSG00000000003,0,0,0,0
ENSMUSG00000000028,106,125,133,179
ENSMUSG00000000031,46,53,39,249
ENSMUSG00000000037,114,115,90,103
ENSMUSG00000000049,3,5,0,7
ENSMUSG00000000056,536,504,557,837
ENSMUSG00000000058,1802,1826,2143,2228
ENSMUSG00000000078,6145,6237,2568,6126
ENSMUSG00000000085,199,227,258,292
ENSMUSG00000000088,480,574,537,1032
ENSMUSG00000000093,7,12,4,7
ENSMUSG00000000094,1,0,0,0
ENSMUSG00000000103,0,0,0,0
ENSMUSG00000000120,76,106,56,141
ENSMUSG00000000125,401,471,639,1241
ENSMUSG00000000126,2,1,7,8
ENSMUSG00000000127,441,408,420,636
ENSMUSG00000000131,1192,1276,1106,1503
ENSMUSG00000000134,358,424,348,575
ENSMUSG00000000142,446,463,476,672
ENSMUSG00000000148,95,92,101,171
ENSMUSG00000000149,298,330,373,464
ENSMUSG00000000154,53,42,48,78
ENSMUSG00000000157,0,0,0,0
ENSMUSG00000000159,1,0,0,3
ENSMUSG00000000167,10,18,15,15
ENSMUSG00000000168,391,415,348,693
ENSMUSG00000000171,311,311,349,548
ENSMUSG00000000182,0,0,0,0
ENSMUSG00000000183,0,0,0,0
ENSMUSG00000000184,3043,3233,2195,2205
ENSMUSG00000000194,648,655,640,1023
ENSMUSG00000000197,0,0,0,0
ENSMUSG00000000202,0,0,0,0
ENSMUSG00000000204,0,2,0,2
ENSMUSG00000000214,0,0,0,1
ENSMUSG00000000215,0,0,1,1
ENSMUSG00000000216,6,3,7,11
ENSMUSG00000000223,4,4,6,8
ENSMUSG00000000244,2,0,1,3
ENSMUSG00000000247,40,55,27,39
ENSMUSG00000000248,93,95,50,98
ENSMUSG00000000253,4,6,2,9
ENSMUSG00000000263,4,9,3,5
ENSMUSG00000000266,743,767,678,1036
ENSMUSG00000000275,408,448,605,872
ENSMUSG00000000276,184,223,181,280
ENSMUSG00000000278,67,63,110,262
ENSMUSG00000000282,250,300,273,355
ENSMUSG00000000290,2,1,4,10
ENSMUSG00000000295,151,173,170,208
ENSMUSG00000000296,19,24,25,32
ENSMUSG00000000301,10,15,17,22
ENSMUSG00000000303,5093,5357,4927,6888
ENSMUSG00000000305,31,32,39,25
ENSMUSG00000000308,1344,1411,1610,2921
ENSMUSG00000000317,20,20,6,14
ENSMUSG00000000318,0,2,0,0
ENSMUSG00000000320,68,52,27,38
ENSMUSG00000000325,315,347,331,382
ENSMUSG00000000326,256,238,288,396
ENSMUSG00000000339,198,190,217,298
ENSMUSG00000000340,308,305,287,300
ENSMUSG00000000346,1149,1211,1334,1839
ENSMUSG00000000355,277,275,243,405
ENSMUSG00000000359,0,0,0,0
ENSMUSG00000000365,0,0,0,1
