GeneID,E,F,G,H,I
ENSMUSG00000000001,1291,1621,1404,1795,1257
ENSMUSG00000000003,0,0,0,0,0
ENSMUSG00000000028,151,70,50,149,124
ENSMUSG00000000031,14,7,4,51,1
ENSMUSG00000000037,85,87,79,156,167
ENSMUSG00000000049,6,1,2,2,2
ENSMUSG00000000056,472,449,390,498,491
ENSMUSG00000000058,1523,1769,1536,2845,2059
ENSMUSG00000000078,3626,3221,2609,2245,4134
ENSMUSG00000000085,149,166,118,319,419
ENSMUSG00000000088,744,428,341,651,389
ENSMUSG00000000093,7,7,1,10,16
ENSMUSG00000000094,0,0,0,0,2
ENSMUSG00000000103,0,0,0,0,0
ENSMUSG00000000120,41,15,19,56,20
ENSMUSG00000000125,471,139,135,393,76
ENSMUSG00000000126,5,2,0,8,3
ENSMUSG00000000127,324,430,383,495,679
ENSMUSG00000000131,1105,908,728,1183,1525
ENSMUSG00000000134,432,347,259,346,423
ENSMUSG00000000142,427,358,287,517,555
ENSMUSG00000000148,105,79,63,129,94
ENSMUSG00000000149,449,299,211,446,266
ENSMUSG00000000154,45,52,43,59,52
ENSMUSG00000000157,0,0,0,0,1
ENSMUSG00000000159,0,6,1,2,5
ENSMUSG00000000167,16,9,7,13,32
ENSMUSG00000000168,535,294,262,498,414
ENSMUSG00000000171,435,198,180,462,240
ENSMUSG00000000182,0,0,0,0,1
ENSMUSG00000000183,0,0,0,0,0
ENSMUSG00000000184,3372,2078,1856,3786,4517
ENSMUSG00000000194,646,629,575,681,877
ENSMUSG00000000197,0,0,0,0,1
ENSMUSG00000000202,0,0,0,0,1
ENSMUSG00000000204,1,4,2,0,1
ENSMUSG00000000214,0,0,0,0,0
ENSMUSG00000000215,0,0,0,0,12
ENSMUSG00000000216,5,45,19,16,35
ENSMUSG00000000223,0,2,4,3,8
ENSMUSG00000000244,0,0,1,0,1
ENSMUSG00000000247,39,139,126,234,412
ENSMUSG00000000248,31,47,36,41,72
ENSMUSG00000000253,2,9,8,14,17
ENSMUSG00000000263,2,1,1,4,2
ENSMUSG00000000266,555,821,714,667,858
ENSMUSG00000000275,808,229,226,600,414
ENSMUSG00000000276,185,217,181,260,350
ENSMUSG00000000278,115,100,70,182,70
ENSMUSG00000000282,256,276,179,275,354
ENSMUSG00000000290,5,17,22,6,3
ENSMUSG00000000295,172,130,97,244,144
ENSMUSG00000000296,46,23,30,49,50
ENSMUSG00000000301,17,8,9,23,10
ENSMUSG00000000303,4734,6179,5629,6327,6524
ENSMUSG00000000305,20,16,11,40,10
ENSMUSG00000000308,1774,1456,1161,1942,1456
ENSMUSG00000000317,15,40,29,11,36
ENSMUSG00000000318,1,1,1,0,0
ENSMUSG00000000320,36,134,108,19,21
ENSMUSG00000000325,423,343,218,445,471
ENSMUSG00000000326,303,292,258,421,335
ENSMUSG00000000339,194,207,165,270,214
ENSMUSG00000000340,204,242,195,347,235
ENSMUSG00000000346,1166,1276,1071,1586,1199
ENSMUSG00000000355,234,247,189,265,347
ENSMUSG00000000359,0,0,0,0,0
ENSMUSG00000000365,0,0,0,0,0
ENSMUSG00000000374,1190,1029,800,1252,1193
ENSMUSG00000000378,100,56,55,78,103
ENSMUSG00000000381,2,0,0,1,0
ENSMUSG00000000384,544,281,243,575,490
ENSMUSG00000000385,13,4,8,23,43
ENSMUSG00000000386,672,35,25,7,18
ENSMUSG00000000392,1,5,4,2,1
ENSMUSG00000000394,0,0,0,0,0
ENSMUSG00000000399,347,199,180,364,223
ENSMUSG00000000402,16,90,63,109,133
ENSMUSG00000000409,20,2,2,13,14
ENSMUSG00000000411,0,1,1,2,6
ENSMUSG00000000416,93,585,448,200,662
ENSMUSG00000000420,530,602,518,719,472
ENSMUSG00000000435,0,0,0,0,0
ENSMUSG00000000439,581,610,509,673,784
ENSMUSG00000000440,341,54,43,137,148
ENSMUSG00000000441,940,813,661,1090,1198
ENSMUSG00000000486,12,24,9,30,38
ENSMUSG00000000489,140,80,59,128,141
ENSMUSG00000000530,97,48,40,95,73
ENSMUSG00000000531,25,20,18,32,48
ENSMUSG00000000532,806,793,654,1050,1283
ENSMUSG00000000538,543,1015,795,776,1170
ENSMUSG00000000544,2,0,0,2,0
ENSMUSG00000000552,323,344,230,393,315
ENSMUSG00000000555,138,106,84,177,163
ENSMUSG00000000560,0,0,0,0,0
ENSMUSG00000000561,563,393,272,578,578
ENSMUSG00000000562,0,1,1,2,0
ENSMUSG00000000563,1140,1064,843,1528,1056
ENSMUSG00000000567,1137,2782,2062,1765,4423
ENSMUSG00000000568,1519,1149,924,2057,2416
ENSMUSG00000000579,17,9,3,8,7
ENSMUSG00000000581,325,340,288,478,425
ENSMUSG00000000594,84,137,126,146,144
ENSMUSG00000000600,494,519,396,600,1184
ENSMUSG00000000605,473,549,428,524,631
ENSMUSG00000000606,0,0,0,0,0
ENSMUSG00000000617,0,0,0,0,0
ENSMUSG00000000627,1,3,1,0,0
ENSMUSG00000000628,1190,953,774,778,933
ENSMUSG00000000631,1852,2856,2388,1993,2750
ENSMUSG00000000632,0,2,1,2,1
ENSMUSG00000000673,0,1,0,1,3
ENSMUSG00000000682,37,28,37,20,60
ENSMUSG00000000686,89,109,75,94,107
ENSMUSG00000000690,58,49,35,73,166
ENSMUSG00000000693,45,36,22,30,56
ENSMUSG00000000701,0,0,0,0,0
ENSMUSG00000000706,1,2,0,0,1
ENSMUSG00000000708,243,272,238,232,449
ENSMUSG00000000711,341,394,400,453,360
ENSMUSG00000000724,10,2,2,10,29
ENSMUSG00000000730,6,3,4,4,12
ENSMUSG00000000731,1,1,0,1,4
ENSMUSG00000000732,174,105,79,166,202
ENSMUSG00000000738,364,321,239,431,460
ENSMUSG00000000739,24,40,32,44,227
ENSMUSG00000000740,4940,3945,3386,5180,3050
ENSMUSG00000000743,808,672,632,807,508
ENSMUSG00000000751,499,371,325,694,432
ENSMUSG00000000753,3,6,9,9,14
ENSMUSG00000000759,536,423,298,643,805
ENSMUSG00000000766,0,1,0,0,1
ENSMUSG00000000776,152,140,103,171,176
ENSMUSG00000000782,131,102,96,214,215
ENSMUSG00000000787,5572,5718,5099,8609,6227
ENSMUSG00000000791,1,3,0,1,1
ENSMUSG00000000792,4,3,1,6,8
ENSMUSG00000000794,1,5,6,3,6
ENSMUSG00000000804,483,795,679,728,918
ENSMUSG00000000805,0,0,0,0,1
ENSMUSG00000000811,309,409,360,519,483
ENSMUSG00000000817,0,0,0,0,0
ENSMUSG00000000823,580,463,351,658,801
ENSMUSG00000000826,1127,965,834,1261,1088
ENSMUSG00000000827,550,547,437,619,655
ENSMUSG00000000838,1073,978,754,1382,1556
ENSMUSG00000000861,693,988,930,1016,2212
ENSMUSG00000000869,8,10,10,4,14
ENSMUSG00000000876,173,153,91,167,108
ENSMUSG00000000881,136,347,264,185,288
ENSMUSG00000000884,78,29,29,87,68
ENSMUSG00000000889,0,1,0,0,1
ENSMUSG00000000901,3,3,3,15,11
ENSMUSG00000000902,521,433,345,563,661
ENSMUSG00000000903,0,1,0,0,0
ENSMUSG00000000915,1014,1072,783,854,1202
ENSMUSG00000000916,179,140,84,187,217
ENSMUSG00000000934,292,198,150,414,346
ENSMUSG00000000938,154,129,123,227,185
ENSMUSG00000000942,7,4,11,8,15
ENSMUSG00000000948,61,115,83,110,282
ENSMUSG00000000957,843,397,365,1108,608
ENSMUSG00000000958,17,8,5,20,15
ENSMUSG00000000959,624,374,303,711,506
ENSMUSG00000000976,300,246,209,310,402
ENSMUSG00000000982,2,0,3,0,0
ENSMUSG00000000983,4,131,136,9,16
ENSMUSG00000001014,11,4,2,3,5
ENSMUSG00000001016,422,375,314,610,624
ENSMUSG00000001017,1019,887,744,1140,1163
ENSMUSG00000001018,216,282,227,333,313
ENSMUSG00000001020,47,58,42,93,32
ENSMUSG00000001021,15,71,57,26,24
ENSMUSG00000001023,1,0,0,0,1
ENSMUSG00000001025,1709,1298,1057,2755,1565
ENSMUSG00000001027,1,0,0,0,2
ENSMUSG00000001029,4,4,6,0,5
ENSMUSG00000001034,113,134,85,129,191
ENSMUSG00000001036,529,813,663,629,919
ENSMUSG00000001039,30,28,22,55,64
ENSMUSG00000001052,1017,886,743,1112,1553
ENSMUSG00000001053,88,142,104,84,97
ENSMUSG00000001054,197,238,138,208,241
ENSMUSG00000001056,495,493,375,489,312
ENSMUSG00000001062,171,235,135,207,276
ENSMUSG00000001065,190,199,137,215,303
ENSMUSG00000001076,2,0,0,0,0
ENSMUSG00000001082,238,122,79,230,168
ENSMUSG00000001089,1891,2177,1968,2371,2333
ENSMUSG00000001095,0,0,0,0,1
ENSMUSG00000001098,428,507,394,502,518
ENSMUSG00000001100,437,337,267,448,401
ENSMUSG00000001103,3,0,1,0,0
ENSMUSG00000001105,214,338,274,265,305
ENSMUSG00000001119,79,172,169,268,197
ENSMUSG00000001120,20,38,19,45,65
ENSMUSG00000001123,768,172,137,467,324
ENSMUSG00000001127,498,530,362,610,1052
ENSMUSG00000001128,11,13,14,12,30
ENSMUSG00000001131,2,4,2,1,2
ENSMUSG00000001134,80,60,64,90,94
ENSMUSG00000001138,262,278,209,319,353
ENSMUSG00000001143,116,109,83,169,204
ENSMUSG00000001150,578,423,337,683,609
ENSMUSG00000001151,825,804,642,1172,1232
ENSMUSG00000001155,0,0,0,2,0
ENSMUSG00000001156,239,440,412,186,435
ENSMUSG00000001157,229,219,163,292,281
ENSMUSG00000001158,176,202,155,237,223
ENSMUSG00000001166,36,40,27,66,43
ENSMUSG00000001168,5,0,2,0,0
ENSMUSG00000001173,357,370,315,495,574
ENSMUSG00000001175,2185,3785,3148,3216,3131
ENSMUSG00000001211,378,1170,955,476,790
ENSMUSG00000001225,0,1,2,0,1
ENSMUSG00000001227,1,5,3,1,2
ENSMUSG00000001228,763,223,171,889,424
ENSMUSG00000001229,337,239,191,331,356
ENSMUSG00000001240,344,316,234,399,321
ENSMUSG00000001247,282,388,303,310,365
ENSMUSG00000001248,259,171,117,193,374
ENSMUSG00000001249,10,5,1,11,20
ENSMUSG00000001260,0,0,0,0,0
ENSMUSG00000001270,41,29,27,27,27
ENSMUSG00000001280,1605,1659,1477,2198,2163
ENSMUSG00000001281,18,10,7,19,41
ENSMUSG00000001285,159,99,72,164,155
ENSMUSG00000001288,1570,1363,1068,1629,1547
ENSMUSG00000001289,452,485,465,626,424
ENSMUSG00000001300,2915,5190,4311,3213,7468
ENSMUSG00000001305,223,127,109,242,162
ENSMUSG00000001313,97,153,141,133,128
ENSMUSG00000001323,364,372,245,415,434
ENSMUSG00000001333,21,21,20,38,46
ENSMUSG00000001334,5,1,1,4,2
ENSMUSG00000001348,572,273,262,563,402
ENSMUSG00000001349,2,1,4,11,13
ENSMUSG00000001366,290,362,293,333,392
ENSMUSG00000001376,347,485,420,487,669
ENSMUSG00000001380,489,521,383,579,462
ENSMUSG00000001383,345,430,319,512,396
