Gene-ID,Gene-Name,ACE1,ACE2,ACE3,ACE4,ACE5
ENSMUSG00000000001,Gnai3,2022,3226,2467,3112,4052
ENSMUSG00000000003,Pbsn,0,0,0,0,0
ENSMUSG00000000028,Cdc45,67,44,72,175,327
ENSMUSG00000000031,H19,4,5,313,660,157
ENSMUSG00000000037,Scml2,127,50,107,117,189
ENSMUSG00000000049,Apoh,86,39,60,22,11
ENSMUSG00000000056,Narf,331,226,458,312,505
ENSMUSG00000000058,Cav2,2580,2980,3537,3322,2273
ENSMUSG00000000078,Klf6,11815,36002,13424,26718,31719
ENSMUSG00000000085,Scmh1,1431,848,1275,813,807
ENSMUSG00000000088,Cox5a,394,852,613,1139,1197
ENSMUSG00000000093,Tbx2,175,31,226,131,68
ENSMUSG00000000094,Tbx4,12,3,0,8,4
ENSMUSG00000000103,Zfy2,0,0,0,0,0
ENSMUSG00000000120,Ngfr,134,11,357,175,22
ENSMUSG00000000125,Wnt3,4,3,0,0,0
ENSMUSG00000000126,Wnt9a,446,33,351,102,25
ENSMUSG00000000127,Fer,658,643,797,885,746
ENSMUSG00000000131,Xpo6,2097,2535,2259,1951,2262
ENSMUSG00000000134,Tfe3,818,990,746,733,966
ENSMUSG00000000142,Axin2,599,83,871,312,89
ENSMUSG00000000148,Brat1,145,128,238,153,210
ENSMUSG00000000149,Gna12,978,1905,1394,1183,1261
ENSMUSG00000000154,Slc22a18,15,249,6,80,86
ENSMUSG00000000157,Itgb2l,4,33,0,0,0
ENSMUSG00000000159,Igsf5,64,1049,137,588,373
ENSMUSG00000000167,Pih1d2,27,56,33,51,75
ENSMUSG00000000168,Dlat,565,776,779,1001,1218
ENSMUSG00000000171,Sdhd,346,477,485,864,821
ENSMUSG00000000182,Fgf23,0,0,0,0,0
ENSMUSG00000000183,Fgf6,0,0,0,0,0
ENSMUSG00000000184,Ccnd2,632,109,2458,4714,909
ENSMUSG00000000194,Gpr107,859,1045,1011,1030,1062
ENSMUSG00000000197,Nalcn,458,25,420,102,64
ENSMUSG00000000202,Btbd17,0,3,0,0,8
ENSMUSG00000000204,Slfn4,8,15,12,51,0
ENSMUSG00000000214,Th,0,0,3,0,0
ENSMUSG00000000215,Ins2,0,0,0,0,0
ENSMUSG00000000216,Scnn1g,216,138,146,196,36
ENSMUSG00000000223,Drp2,376,13,503,109,11
ENSMUSG00000000244,Tspan32,4,3,3,0,8
ENSMUSG00000000247,Lhx2,4,0,6,0,4
ENSMUSG00000000248,Clec2g,12,7,9,37,22
ENSMUSG00000000253,Gmpr,49,161,30,51,61
ENSMUSG00000000263,Glra1,49,42,9,15,32
ENSMUSG00000000266,Mid2,1387,1798,1460,1204,1971
ENSMUSG00000000275,Trim25,1238,1878,1546,1930,2149
ENSMUSG00000000276,Dgke,406,333,372,392,494
ENSMUSG00000000278,Scpep1,803,632,850,922,711
ENSMUSG00000000282,Mnt,558,916,788,878,1179
ENSMUSG00000000290,Itgb2,30,17,69,160,47
ENSMUSG00000000295,Hddc2,131,197,93,153,235
ENSMUSG00000000296,Tpd52l1,123,204,167,189,242
ENSMUSG00000000301,Pemt,41,42,24,51,54
ENSMUSG00000000303,Cdh1,5274,22863,7189,12445,23655
