GeneID,D13_A1,D13_A2,D13_A3,D13_B1,D13_B2,D13_B3,Adult_A1,Adult_A2,Adult_B1,Adult_B2
ENSMUSG00000000001,326,347,230,317,438,309,140,184,128,233
ENSMUSG00000000003,14,4,4,5,0,4,567,192,1030,1920
ENSMUSG00000000028,12,14,5,1,11,6,3,0,0,0
ENSMUSG00000000031,319,129,17,15,178,41,255,14,12,4
ENSMUSG00000000037,25,19,5,1,17,17,0,3,2,3
ENSMUSG00000000049,1,5,0,3,6,7,0,1,3,3
ENSMUSG00000000056,95,58,63,7,31,107,14,33,15,14
ENSMUSG00000000058,518,403,289,343,203,454,217,302,169,345
ENSMUSG00000000078,4457,4281,3463,4903,3763,3994,2480,2790,2039,3141
ENSMUSG00000000085,208,214,171,205,246,291,102,231,70,211
ENSMUSG00000000088,73,50,44,33,43,103,52,47,20,54
ENSMUSG00000000093,96,77,67,15,93,100,46,81,17,52
ENSMUSG00000000094,6,9,1,1,38,8,0,5,0,5
ENSMUSG00000000103,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,298,196,177,114,114,230,60,169,40,124
ENSMUSG00000000125,2,1,3,0,0,1,0,2,0,0
ENSMUSG00000000126,4,2,3,6,8,12,7,10,9,15
ENSMUSG00000000127,101,154,58,35,100,115,35,73,19,69
ENSMUSG00000000131,358,420,270,427,404,414,154,177,127,180
ENSMUSG00000000134,166,149,88,116,134,125,69,107,33,83
ENSMUSG00000000142,137,76,65,34,105,120,57,72,23,61
ENSMUSG00000000148,22,10,9,3,10,53,11,12,2,5
ENSMUSG00000000149,217,198,108,174,139,206,65,91,46,106
ENSMUSG00000000154,1,5,1,1,0,11,3,3,8,10
ENSMUSG00000000157,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000000159,5,15,1,0,8,7,14,5,10,35
ENSMUSG00000000167,11,3,9,12,1,1,2,2,0,8
ENSMUSG00000000168,84,68,43,63,49,81,39,52,17,53
ENSMUSG00000000171,65,31,34,29,32,62,38,43,11,34
ENSMUSG00000000182,0,0,1,0,0,2,0,0,1,0
ENSMUSG00000000183,0,1,0,1,0,0,0,1,0,0
ENSMUSG00000000184,1436,1565,768,892,1347,1154,316,662,212,727
ENSMUSG00000000194,181,161,78,86,136,199,67,140,37,95
ENSMUSG00000000197,45,90,7,0,82,0,10,26,4,12
ENSMUSG00000000202,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000204,6,0,0,0,1,0,0,0,0,1
ENSMUSG00000000214,1,1,5,1,0,1,0,1,0,0
ENSMUSG00000000215,0,0,0,0,607,0,0,0,1,0
ENSMUSG00000000216,209,133,269,17,46,251,29,38,22,19
ENSMUSG00000000223,5,5,0,0,29,1,0,4,0,3
ENSMUSG00000000244,2,0,0,2,1,1,0,0,0,0
ENSMUSG00000000247,0,0,0,1,1,2,0,1,1,0
ENSMUSG00000000248,3,4,0,10,1,3,2,0,0,4
ENSMUSG00000000253,14,13,11,9,15,20,2,11,1,16
ENSMUSG00000000263,8,0,7,1,8,9,4,2,1,1
ENSMUSG00000000266,206,165,109,170,122,126,54,76,54,152
ENSMUSG00000000275,174,48,99,62,209,159,33,54,25,43
ENSMUSG00000000276,29,23,4,40,53,25,22,13,4,10
ENSMUSG00000000278,66,84,49,41,123,64,70,61,12,36
ENSMUSG00000000282,197,186,131,202,154,184,67,64,38,67
ENSMUSG00000000290,4,1,0,0,1,0,1,0,0,1
ENSMUSG00000000295,18,22,26,16,9,13,4,7,4,6
ENSMUSG00000000296,19,39,34,24,15,19,15,13,15,16
ENSMUSG00000000301,1,4,1,3,4,0,0,0,0,1
ENSMUSG00000000303,1277,1947,1515,3084,1489,1659,1506,1450,1602,2812
ENSMUSG00000000305,3,2,2,1,3,0,2,1,1,1
ENSMUSG00000000308,0,0,1,5,1,2,2,0,1,0
ENSMUSG00000000317,3,1,1,2,20,7,4,1,6,3
ENSMUSG00000000318,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000000320,20,10,8,13,25,21,8,12,3,21
ENSMUSG00000000325,118,89,89,37,72,112,44,184,58,92
ENSMUSG00000000326,183,92,123,65,112,165,45,141,41,82
ENSMUSG00000000339,27,49,13,15,17,32,19,26,20,16
ENSMUSG00000000340,93,63,51,17,18,85,33,66,49,41
ENSMUSG00000000346,435,369,273,328,257,315,212,267,205,269
ENSMUSG00000000355,36,47,38,40,35,46,13,46,21,38
ENSMUSG00000000359,10,12,0,0,21,2,0,3,1,0
ENSMUSG00000000365,0,0,0,0,0,0,0,1,1,0
ENSMUSG00000000374,454,279,293,225,212,414,138,249,87,231
ENSMUSG00000000378,32,49,29,44,80,42,30,30,9,19
ENSMUSG00000000381,0,0,0,0,0,1,0,1,0,0
ENSMUSG00000000384,77,74,64,96,104,103,53,57,43,39
ENSMUSG00000000385,14,6,18,12,5,41,17,6,9,15
ENSMUSG00000000386,5,3,2,2,15,11,1,1,0,12
ENSMUSG00000000392,16,38,4,13,100,6,0,3,3,2
ENSMUSG00000000394,0,0,0,0,6,0,0,0,0,0
ENSMUSG00000000399,37,10,19,17,37,35,23,28,16,22
ENSMUSG00000000402,9,7,5,5,17,11,5,11,2,10
ENSMUSG00000000409,1,4,10,3,4,20,1,2,0,2
ENSMUSG00000000411,2,3,3,1,1,4,0,0,2,2
ENSMUSG00000000416,243,208,193,103,141,268,56,126,22,65
ENSMUSG00000000420,322,156,126,162,215,150,85,122,54,120
ENSMUSG00000000435,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000000439,204,170,198,171,170,214,100,74,83,78
ENSMUSG00000000440,2,4,6,6,7,8,4,0,0,0
ENSMUSG00000000441,406,352,292,335,330,366,143,159,163,143
ENSMUSG00000000486,4,5,0,1,2,4,4,2,1,1
ENSMUSG00000000489,10,2,0,1,10,2,10,29,23,31
ENSMUSG00000000530,44,24,22,10,62,24,41,47,20,51
ENSMUSG00000000531,24,25,28,38,43,52,17,13,11,13
ENSMUSG00000000532,159,90,120,46,74,228,35,54,19,47
ENSMUSG00000000538,152,159,115,73,132,149,35,92,57,67
ENSMUSG00000000544,0,0,1,0,0,2,0,0,0,0
ENSMUSG00000000552,26,23,17,18,21,33,5,22,12,11
ENSMUSG00000000555,130,246,36,110,1065,29,16,55,103,80
ENSMUSG00000000560,2,7,1,0,1,0,0,1,0,0
ENSMUSG00000000561,125,115,95,141,185,142,52,60,41,70
ENSMUSG00000000562,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000563,248,222,198,184,171,227,109,124,97,132
ENSMUSG00000000567,851,370,580,379,403,863,352,513,341,379
ENSMUSG00000000568,460,425,497,366,412,597,177,243,191,306
ENSMUSG00000000579,6,7,8,2,8,3,4,5,3,2
ENSMUSG00000000581,68,55,33,20,38,43,25,37,9,19
ENSMUSG00000000594,212,201,95,62,165,106,58,123,54,102
ENSMUSG00000000600,237,203,111,218,227,250,105,122,49,116
