baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000001	228.401397851257	-0.345662130672615	0.359246895887597	-0.962457154949804	0.335820015310357	1
ENSMUSG00000000003	653.032825326497	-1.3619479427468	0.666551743182075	-1.66500132750304	0.0959124909770587	1
ENSMUSG00000000028	3.51695880176467	0.385206150359119	0.602054114055015	1.19431387128133	0.232355213577861	1
ENSMUSG00000000031	98.9166188084685	1.24455997410859	0.659771374287445	2.33630391525083	0.0194754076138249	1
ENSMUSG00000000037	6.65377284247163	-0.357452928768205	0.665895755911822	-0.66549993690711	0.505730783889995	1
ENSMUSG00000000049	2.46857473578734	-0.686501015517074	0.586541551805608	-1.19781743078275	0.230988099782474	1
ENSMUSG00000000056	37.6747108382414	0.226717185192603	0.56109767710681	0.417904156797898	0.676017193215288	1
ENSMUSG00000000058	293.143729921853	-0.1737750000995	0.361629814960401	-0.480407057947504	0.630937976632929	1
ENSMUSG00000000078	3136.24057124365	-0.198554442316472	0.300482822287669	-0.660626174592113	0.508852078868506	1
ENSMUSG00000000085	174.618405413278	0.0510066471096786	0.393005156071281	0.129140266512413	0.897246660686661	1
ENSMUSG00000000088	50.270778246129	0.263138021277901	0.5034828036398	0.518196963710098	0.604320853013901	1
ENSMUSG00000000093	61.2529416857155	0.608971620108436	0.468339037381589	1.29948421501137	0.193777807138097	1
ENSMUSG00000000094	6.09063017539875	-0.0502645342123906	0.654691615510721	-0.0839256894507318	0.933115514383202	1
ENSMUSG00000000120	129.966289045601	0.23856289355528	0.439217845313677	0.543284021826919	0.586934263772423	1
ENSMUSG00000000126	9.1875138921782	-0.473294912518366	0.659300773188022	-0.675294553564198	0.499488643545984	1
ENSMUSG00000000127	62.2031342100907	0.117660032271117	0.477645605512375	0.246875448374572	0.805004617674732	1
ENSMUSG00000000131	234.170511650251	-0.133296828678503	0.356880894209696	-0.37333181986189	0.708901496776361	1
ENSMUSG00000000134	90.5286016460007	0.373331431465589	0.417183516469973	0.895398089481648	0.370574321589725	1
ENSMUSG00000000142	70.4582616978739	0.405833473623238	0.449542451645183	0.904756932583745	0.365594172271489	1
ENSMUSG00000000148	12.3679744935563	0.862616033010941	0.660584236909018	1.33218722252677	0.182798674205271	1
ENSMUSG00000000149	106.837067327899	-0.130613027713397	0.410847337399582	-0.317621616698849	0.750771974875434	1
ENSMUSG00000000154	5.33919318316471	-0.951168718380524	0.662920529124247	-1.21698283165512	0.223610748046318	1
ENSMUSG00000000159	12.2941640297135	-0.813554072742597	0.654620742131853	-1.14046472566047	0.254092740459456	1
