baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000001	228.401397851257	-0.137039311527158	0.386046930882415	-0.31075928447182	0.755983624425896	0.987453939504118
ENSMUSG00000000003	653.032825326497	-3.19687338303374	0.656666095757274	-5.91574629179822	3.30374132073592e-09	1.17741669847338e-06
ENSMUSG00000000031	98.9166188084685	0.913460529417977	0.635330989192427	1.94172437609372	0.0521704761107569	0.499885891337574
ENSMUSG00000000056	37.6747108382414	0.827017275419541	0.571659320489931	1.35767483564706	0.174566885119232	0.799875617015478
ENSMUSG00000000058	293.143729921853	-0.378056776061393	0.390601081068303	-0.995954851217145	0.319272082437955	0.911144467791165
ENSMUSG00000000078	3136.24057124365	-0.336314978909539	0.328972236255626	-1.02418252667237	0.305749070311622	0.906974498292967
ENSMUSG00000000085	174.618405413278	-0.409399206231108	0.421985054660507	-0.970512270627902	0.3317912115562	0.914023785511969
ENSMUSG00000000088	50.270778246129	-0.314460840456197	0.527325453505956	-0.624254061101128	0.532460748255859	0.962411836994169
ENSMUSG00000000093	61.2529416857155	0.335249594399347	0.492676039260443	0.675235194602651	0.499526349590995	0.954987790977867
ENSMUSG00000000120	129.966289045601	0.48040119911159	0.465314489574238	0.978192057610174	0.327979343916647	0.911606365348914
ENSMUSG00000000126	9.1875138921782	-1.43696637501725	0.655347647916741	-2.18835963621584	0.0286434160222457	0.365285490762423
ENSMUSG00000000127	62.2031342100907	0.0388648400968585	0.500853982874629	0.105008187532906	0.916369311929755	0.998268797597761
ENSMUSG00000000131	234.170511650251	0.0489637166033736	0.383404126227884	0.150729372757974	0.880189201832829	0.997106508713071
ENSMUSG00000000134	90.5286016460007	0.314872910912747	0.443034446847155	0.720261559079407	0.471363968138795	0.947647622758122
ENSMUSG00000000142	70.4582616978739	0.378160752367514	0.473741221698878	0.81113946341275	0.417285585325323	0.935379780361433
ENSMUSG00000000148	12.3679744935563	0.464382304410028	0.65403347910254	0.731687595290545	0.464359269481148	0.946626854487983
ENSMUSG00000000149	106.837067327899	0.148424078228685	0.434998884075905	0.354680465648586	0.722828986884993	0.983891930802594
ENSMUSG00000000159	12.2941640297135	-1.90348040195859	0.655375707027496	-2.71663824994523	0.00659486457291197	0.147151499948627
ENSMUSG00000000168	47.2492263531291	-0.0328619256883733	0.522984960095661	-0.075131582591141	0.940110019556271	0.999109146199084
ENSMUSG00000000171	36.3332421563869	0.155555918911491	0.555654295988483	0.233372140617943	0.815472444529185	0.992614979491586
ENSMUSG00000000184	704.038875069943	0.49585841065837	0.383680223256924	1.33148668702451	0.183028922638838	0.809291515699558
ENSMUSG00000000194	102.840354113774	0.0763655066765618	0.456710254012038	0.182334574140059	0.855320167199376	0.997106508713071
ENSMUSG00000000197	19.8025265972386	0.969785698529729	0.651754138212167	2.24007240548011	0.025086222650831	0.332152978957855
ENSMUSG00000000215	57.7872068100733	-0.00323224896949167	0.351153029967272	0.349019637795498	0.727074566679302	0.984023771160844
ENSMUSG00000000216	87.0370682524837	1.50396571479486	0.500249525042021	2.83468693248876	0.00458706128961488	0.115850386507399
