baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000001	228.401397851257	0.503616777439771	0.38613018975289	1.29549213122113	0.195150514092223	0.713429706342679
ENSMUSG00000000003	653.032825326497	-1.99984850921413	0.656151150527935	-5.47713819979503	4.32259617750459e-08	1.14315378510286e-05
ENSMUSG00000000031	98.9166188084685	-0.416922338764168	0.635592600719039	-0.10666593960731	0.915054004658453	0.990484536967807
ENSMUSG00000000056	37.6747108382414	0.17194166922907	0.568984348599731	0.299402982822884	0.76463258653278	0.969398578857456
ENSMUSG00000000058	293.143729921853	-0.61878342699245	0.391484070548673	-1.61677847172729	0.105926108059724	0.579520775249786
ENSMUSG00000000078	3136.24057124365	-0.264864700209433	0.329015953609559	-0.808599523605331	0.418745538903552	0.876562768281035
ENSMUSG00000000085	174.618405413278	-0.107540513270981	0.420397621129544	-0.277489100020531	0.781404574261646	0.971527846453376
ENSMUSG00000000088	50.270778246129	-0.460772460171845	0.52392801027368	-0.919930949468902	0.357608844290621	0.842809114365917
ENSMUSG00000000093	61.2529416857155	-0.140601845447829	0.485682858416629	-0.26042570612755	0.794535416231501	0.975432528926992
ENSMUSG00000000120	129.966289045601	-0.301239953720479	0.464517255216402	-0.634047745541148	0.526049663173346	0.91169790764448
ENSMUSG00000000126	9.1875138921782	-0.253599685053987	0.652432534311618	-0.575559916388694	0.564912680959834	0.923086654673129
ENSMUSG00000000127	62.2031342100907	0.240257944147786	0.497431465719301	0.488360721243701	0.625294358525744	0.936055003836822
ENSMUSG00000000131	234.170511650251	0.444995172012603	0.382706139176332	1.15416228062677	0.248433643507986	0.764832217602537
ENSMUSG00000000134	90.5286016460007	-0.0723950038915014	0.43915807158391	-0.126622163971336	0.899239453827294	0.988153168140876
ENSMUSG00000000142	70.4582616978739	0.0862123472437199	0.468554041946251	0.223059359122963	0.823489308187083	0.979803799707857
ENSMUSG00000000148	12.3679744935563	-0.0187033172032599	0.649107883357106	-0.019083672722873	0.98477435633909	0.999238025156168
ENSMUSG00000000149	106.837067327899	0.301048444299534	0.434528428749665	0.702388954890393	0.482436631492363	0.898882584388382
ENSMUSG00000000159	12.2941640297135	-0.387050796226121	0.651921890766593	-0.651735689051196	0.514571695204092	0.907061128273211
ENSMUSG00000000168	47.2492263531291	-0.277711247876607	0.520218838176776	-0.527447822530845	0.597882641272845	0.930641950022779
ENSMUSG00000000171	36.3332421563869	-0.580312206139868	0.550311229818517	-1.03542288732348	0.300471461658715	0.802491241671014
ENSMUSG00000000184	704.038875069943	0.708353971668509	0.383414153754379	1.86748680350288	0.0618336379788136	0.451477744336749
ENSMUSG00000000194	102.840354113774	-0.00226103819684102	0.452556884983095	0.0192505542073865	0.984641228635624	0.999225707309966
ENSMUSG00000000197	19.8025265972386	0.460495308095458	0.647939976049091	0.781823207963409	0.434318479926394	0.882018658170486
ENSMUSG00000000215	57.7872068100733	0.493529717844769	0.351247940256354	1.8772506914583	0.0604837428397442	0.447052281481239
ENSMUSG00000000216	87.0370682524837	0.125845085463816	0.497922713040938	0.236213672109599	0.813266870866633	0.978993737065809
ENSMUSG00000000253	9.40159165305123	0.331291906391268	0.655943183103003	0.454866492465205	0.649205290328993	0.94342770396689
ENSMUSG00000000266	102.775611685768	0.224877033638858	0.439143863895431	0.519137301816257	0.603664997624856	0.932817152012758
ENSMUSG00000000275	81.1250882343474	1.27765646145437	0.453677796257719	2.82962138794541	0.00466031174628586	0.10527268081898
ENSMUSG00000000276	17.6760619986685	0.572309712359868	0.622858419827418	1.0676886974461	0.285660958509311	0.791958567058332
ENSMUSG00000000278	55.5731004518187	-0.121030696147968	0.520771848161739	-0.179659742077248	0.857419700267526	0.983218686030091
ENSMUSG00000000282	97.1797484488653	0.434691748864355	0.441321819348971	1.0052046633412	0.314798310143186	0.814473480991441
ENSMUSG00000000295	9.51281338516374	-0.100203286596811	0.653945751590528	-0.125813416224514	0.899879621554052	0.988380117601896
ENSMUSG00000000296	18.4332946583812	-0.581249674242716	0.622589270173808	-0.969513788868422	0.332288903794562	0.826228111149134
ENSMUSG00000000303	1781.24050982635	-0.829584209983826	0.3629186085014	-2.33587506888223	0.0194977536815233	0.247426868455645
ENSMUSG00000000320	12.9828311522465	0.402607057238168	0.644037665014361	0.635629808242892	0.525017736148901	0.910921367371905
ENSMUSG00000000325	92.8552066101777	-0.945692765467434	0.494894499748332	-1.92732742276528	0.0539388381439933	0.425597281430835
ENSMUSG00000000326	98.3667452747837	-0.213559047764994	0.465707316699605	-0.44166762403786	0.65872974122055	0.945239649284789
