"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"1417822_PM_at",-1.94784625583624,6.4157393738871,-7.94269068929387,0.000430288745581139,0.99999893620778,-4.34256889173806,"D17H6S56E-5"
"1437708_PM_x_at",-2.86558821254259,6.67161195455454,-7.15157667355562,0.000712750779697966,0.99999893620778,-4.34817538192309,"Vamp3"
"1455869_PM_at",-3.52002936435203,7.15050928403461,-7.10777134811445,0.000733951597282814,0.99999893620778,-4.34853445984382,"---"
"1450110_PM_at",-1.80428855138831,8.16887862532051,-6.90199594420157,0.000844035465219893,0.99999893620778,-4.35030114035752,"Adh7"
"1430023_PM_at",-1.58957072679744,6.08971486588094,-6.6212697456136,0.00102714936531178,0.99999893620778,-4.35294268330947,"Spata24"
"1434561_PM_at",-1.3879607925021,6.39346541958592,-5.90230569537605,0.0017548047856683,0.99999893620778,-4.36119701144232,"Asxl1"
"1441991_PM_at",-1.81394457899434,7.28067877818644,-5.86005086502744,0.00181377835298992,0.99999893620778,-4.36176136614144,"Prss53"
"1444416_PM_at",-1.56046944212219,6.56840276436864,-5.85354596246224,0.00182306139033514,0.99999893620778,-4.36184913325441,"Cenpa"
"1456676_PM_a_at",-1.24199819886275,6.32125099168975,-5.79291461418766,0.00191231219606927,0.99999893620778,-4.36267881181988,"Pfkfb3"
"1423539_PM_at",-1.45012359349573,6.27067487688537,-5.65288361219818,0.00213868479931357,0.99999893620778,-4.36467813651524,"Pms2"
"1427797_PM_s_at",-2.08134098258673,9.11871635498339,-5.48470123782047,0.00245318267994817,0.99999893620778,-4.36724313940063,"Ctse"
"1452540_PM_a_at",-1.570667395792,11.0332744519124,-5.16795981422737,0.0032044167442409,0.99999893620778,-4.37261682282831,"Hist1h2bc /// Hist1h2be /// Hist1h2bf /// Hist1h2bg /// Hist1h2bj /// Hist1h2bl /// Hist1h2bm /// Hist1h2bn /// Hist1h2bp /// Hist1h2bq /// Hist1h2br"
"1438758_PM_at",-2.79571211177345,6.65069369076611,-4.91352667741922,0.00400627593650959,0.99999893620778,-4.37752109863783,"Adi1"
"1419153_PM_at",-2.24923743899141,6.80294243978343,-4.87111002472211,0.0041615361476498,0.99999893620778,-4.37839559084279,"2810417H13Rik"
"1441520_PM_at",-1.32525256539831,6.94495275248763,-4.72466357857227,0.00475381735172273,0.99999893620778,-4.38155044381847,"Aspm"
"1443978_PM_at",-1.33469038342851,6.70725530976683,-4.68520810663299,0.00492970789333277,0.99999893620778,-4.382437942319,"Ankle1"
"1431213_PM_a_at",-1.87716851259975,10.3148135155704,-4.66333017062651,0.00503047781456068,0.99999893620778,-4.38293719074546,"Gm3579"
"1433027_PM_at",-1.16734079587938,6.90055962335181,-4.55980746030622,0.00554079881429169,0.99999893620778,-4.38537072393009,"5830485P09Rik"
"1447781_PM_s_at",-1.03532907910545,6.35703795972884,-4.49231719674442,0.00590569945379271,0.99999893620778,-4.38702283844845,"Trmt10a"
"1434279_PM_at",-1.10041914517307,8.0695725685992,-4.45307427108266,0.00613059778068615,0.99999893620778,-4.38800823754913,"AK134344"
"1431506_PM_s_at",-1.30466268138488,6.45150922204023,-4.40666571444825,0.00640941618901612,0.99999893620778,-4.38919774672592,"Gm17748 /// Ppih"
"1431527_PM_at",-1.6783648115896,6.68819258495392,-4.24832186256531,0.00747684927694883,0.99999893620778,-4.39346277473357,"Cd164"
"1454927_PM_at",-1.01496035362151,6.64566786099614,-4.16447122687032,0.00812418514873299,0.99999893620778,-4.39585782409278,"Zfp41"
"1416985_PM_at",-1.21271245503192,6.11412632624341,-4.10012103768042,0.00866477915358247,0.99999893620778,-4.39776373834072,"Sirpa"
"1420760_PM_s_at",-1.65611665623699,7.19780465791971,-4.03588579064859,0.00924592789685349,0.99999893620778,-4.39972738787902,"Ndrg1"
"1451822_PM_a_at",-2.35555670028391,6.37926156125633,-3.99597111209058,0.00962950122227563,0.99999893620778,-4.40097931226392,"Scrn2"
"1417821_PM_at",-2.3771543121599,7.54702948415164,-3.89970133158944,0.0106318835620892,0.99999893620778,-4.40410271192044,"D17H6S56E-5"
"1449005_PM_at",-1.42153862367777,7.43282200227904,-3.83438308811944,0.0113798846382825,0.99999893620778,-4.40630871015093,"Slc16a3"
"1421969_PM_a_at",-1.28485099605013,7.60698272532486,-3.75225722187688,0.0124070037595219,0.99999893620778,-4.40918645367096,"Faah"
"1447570_PM_s_at",-1.14977827062425,8.25532842832807,-3.74059366621947,0.012561267534956,0.99999893620778,-4.40960483058708,"A430106A12Rik"
"1418415_PM_at",-2.24282967841228,6.06640205959729,-3.72582211136771,0.0127597798646991,0.99999893620778,-4.41013821557557,"Hoxb5"
"1423813_PM_at",-1.1884389364191,6.41949686737285,-3.70834168497816,0.0129993214713082,0.99999893620778,-4.41077454128372,"Kif22"
"1416537_PM_at",-1.35056863565805,6.50651333703618,-3.70423672951899,0.0130563121400083,0.99999893620778,-4.41092478156115,"Creld1"
"1426665_PM_at",-1.09725803259999,6.05232897925405,-3.70323487709034,0.0130702643263051,0.99999893620778,-4.41096149610658,"Katnb1"
"1460262_PM_a_at",-1.03364456792641,6.97060936740971,-3.69033761992809,0.0132513982842341,0.99999893620778,-4.41143579002036,"1700037H04Rik"
"1437750_PM_at",-1.67292859579069,6.15516912535421,-3.61502395857153,0.0143678350683173,0.99999893620778,-4.41426765854349,"Tmem158"
"1452556_PM_at",-1.55103617005444,8.82030256043442,-3.5944512855244,0.0146911001848907,0.99999893620778,-4.41506004653137,"---"
"1455477_PM_s_at",-1.83699500894252,6.82511720934373,-3.56632398131939,0.0151465029108437,0.99999893620778,-4.41615677913242,"Pdzk1ip1"
"1416354_PM_at",-1.03923424629982,7.64058846070613,-3.55901893378928,0.0152673793951003,0.99999893620778,-4.41644416615144,"Rbmx"
"1446043_PM_at",-1.75138747090626,6.16290569095741,-3.5584837414347,0.0152762780827829,0.99999893620778,-4.41646526269693,"---"
"1452315_PM_at",-2.2507648959792,6.70883203591675,-3.55004192652422,0.0154174207858794,0.99999893620778,-4.41679878095814,"Kif11"
"1438790_PM_x_at",-1.56922375989553,6.84798759700792,-3.51928987030242,0.0159442086907519,0.99999893620778,-4.41802579738082,"Tmem41b"
"1433923_PM_at",-3.10148302723535,7.40086517298377,-3.50985715473219,0.0161098527235787,0.99999893620778,-4.41840599275602,"Krt77"
"1451363_PM_a_at",-1.039741169346,6.14489375499614,-3.50974043196968,0.0161119146013632,0.99999893620778,-4.41841070872022,"Dennd2d"
"1439041_PM_at",-1.64851271621154,6.64733086929572,-3.45974200494562,0.0170232035371042,0.99999893620778,-4.42045653753248,"Slc39a10"
"1435005_PM_at",-1.47152747409986,6.50827248932609,-3.45125920096943,0.0171835231212629,0.99999893620778,-4.42080878225501,"Cenpe"
"1448439_PM_at",-1.23434676440838,7.153620603571,-3.40997000625914,0.017988607023073,0.99999893620778,-4.42254498047567,"D17Wsu104e"
"1438211_PM_s_at",-1.15821417393045,8.45965993247629,-3.4059088712474,0.0180700662568361,0.99999893620778,-4.42271771082392,"Dbp"
"1438176_PM_x_at",-1.21435007288716,6.80468289736456,-3.3541550653211,0.0191454148804939,0.99999893620778,-4.42495018759971,"Snap47"
"1453844_PM_at",-1.11609092242556,7.75620450370716,-3.35011434094883,0.0192323621479099,0.99999893620778,-4.4251269539532,"Chit1"
"1431430_PM_s_at",-1.98671705981555,6.30018461312461,-3.30790737914578,0.0201676201599837,0.99999893620778,-4.42699502503944,"Trim59"
"1430497_PM_at",-2.15691206415224,6.14070144586602,-3.30505377954692,0.0202326757371143,0.99999893620778,-4.42712276411995,"Rxra"
"1452314_PM_at",-1.45764208212222,6.41495197946951,-3.2536222023151,0.0214465776039647,0.99999893620778,-4.42945679967692,"Kif11"
"1428548_PM_at",-1.03024086613946,7.49308394805215,-3.24189289075141,0.021734734305952,0.99999893620778,-4.42999760366562,"Pak4"
"1437611_PM_x_at",-1.21430853227723,7.33056412131148,-3.23734022298296,0.0218477488920801,0.99999893620778,-4.4302083745743,"Kif2c"
"1438117_PM_x_at",-1.42847258805821,7.15689354225208,-3.22929986147773,0.0220489549430419,0.99999893620778,-4.43058179252894,"Tmem41b"
"1423227_PM_at",-1.39230878046009,10.2948106392116,-3.22471653764435,0.0221645797276237,0.99999893620778,-4.4307953317988,"Krt17"
"1422470_PM_at",-1.75514487186738,7.32947604755466,-3.21777217872202,0.0223410645406232,0.99999893620778,-4.43111981138134,"Bnip3"
"1416758_PM_at",-1.03358169377898,6.45284625624159,-3.21071864582408,0.0225219380485843,0.99999893620778,-4.43145055311597,"Arhgap27"
"1434004_PM_at",-1.57254906990847,6.7951099186712,-3.18132081284432,0.0232936596990636,0.99999893620778,-4.43284170875122,"Dhps"
"1432426_PM_a_at",-1.00022761098774,6.71546847911298,-3.16283291205046,0.0237941319657932,0.99999893620778,-4.43372715604005,"Ube2f"
"1421365_PM_at",-1.2910898394544,6.85432388129637,-3.1594420946725,0.0238872219102574,0.99999893620778,-4.43389044613326,"Fst"
"1452614_PM_at",-1.70524707900492,7.35508121436573,-3.15918553934294,0.0238942818239264,0.99999893620778,-4.43390281225044,"Bcl2l15"
"1437716_PM_x_at",-2.29655554497475,7.39337160170947,-3.15162445096105,0.0241034001617414,0.99999893620778,-4.43426797586993,"Kif22"
"1421052_PM_a_at",-1.71132112875877,6.44608999185291,-3.12974725463165,0.0247200782158141,0.99999893620778,-4.43533235960333,"Gm14680 /// Sms"
"1420655_PM_at",-1.39489616561629,6.77202887134305,-3.12910686597001,0.024738393345076,0.99999893620778,-4.43536369214027,"Pnpla3"
"1452887_PM_at",-1.03207206484017,6.12679330512786,-3.11864336971924,0.0250398073202298,0.99999893620778,-4.4358770679975,"Traf3ip1"
"1420194_PM_at",-1.35906097649563,6.64579107022183,-3.11734176467728,0.0250775877049002,0.99999893620778,-4.43594111739898,"---"
"1444806_PM_at",-1.04945021237611,7.82994322212923,-3.09770900526811,0.0256552378545858,0.99999893620778,-4.43691227802021,"---"
"1448994_PM_at",-1.02305720573473,6.54011175070147,-3.07090662349332,0.0264679567213896,0.99999893620778,-4.43825355817835,"Sp1"
"1421529_PM_a_at",-1.13443495728444,7.76987956855691,-3.01185382291799,0.0283618035676456,0.99999893620778,-4.44127271508838,"Txnrd1"
"1427798_PM_x_at",-1.57430482566758,7.38794626108892,-3.00914345253102,0.0284522769275121,0.99999893620778,-4.44141342481176,"---"
"1429171_PM_a_at",-1.24569268258697,7.16933229096879,-2.99593072508101,0.0288979437407208,0.99999893620778,-4.44210208294478,"Ncapg"
"1444222_PM_x_at",-2.91161577898183,8.13984057170655,-2.99442916512224,0.0289490806801588,0.99999893620778,-4.44218063130324,"---"
"1452493_PM_s_at",-1.82198787489454,6.19539949420537,-2.99053365447248,0.0290822152161651,0.99999893620778,-4.44238468269651,"Hoxb7 /// Hoxb8"
"1455609_PM_at",-1.36060263546567,6.65480357778134,-2.98135826998263,0.0293984933583374,0.99999893620778,-4.44286685852911,"Cit"
"1431431_PM_a_at",-1.25020474573555,6.39138732613748,-2.96097440699963,0.0301148916478892,0.99999893620778,-4.44394591639558,"Nfs1"
"1451835_PM_at",-1.29892237581056,8.85492233599269,-2.95071012253358,0.0304829527774321,0.99999893620778,-4.4444934035601,"Sox21"
"1424524_PM_at",-1.85865495556371,6.01188925631857,-2.93201754804936,0.0311661258138995,0.99999893620778,-4.44549759669573,"Dram1"
"1429244_PM_at",-1.26384214953089,7.11487801452564,-2.92193533272205,0.0315416428606824,0.99999893620778,-4.44604307953505,"2610524H06Rik"
"1416961_PM_at",-1.16472455116717,6.47964385793808,-2.910223946996,0.0319841453824182,0.99999893620778,-4.44668011181599,"Bub1b"
"1419739_PM_at",-1.22020560212091,7.44112400604413,-2.889676703908,0.0327772058816125,0.99999893620778,-4.4478066557503,"Tpm2"
"1417689_PM_a_at",-2.32405332283179,7.26648899503283,-2.8818619282029,0.0330845234723353,0.99999893620778,-4.44823810468796,"Pdzk1ip1"
"1437545_PM_at",-1.26602526007691,6.88112918176704,-2.88154211043594,0.0330971680701297,0.99999893620778,-4.44825579682728,"Rcor1"
"1423520_PM_at",-1.19175551922129,6.0868567112191,-2.87699585965261,0.033277491768544,0.99999893620778,-4.44850759263516,"Lmnb1"
"1455892_PM_x_at",-1.09675044927386,10.0703206486656,-2.87186804268046,0.0334821875326471,0.99999893620778,-4.44879227171401,"---"
