"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"1451593_PM_at",6.18198060067799,8.79146330929395,13.4501849749539,3.13966280246236e-05,0.99999893620778,-4.32576353663214,"H2-K1 /// H2-Q5"
"1431068_PM_at",1.90132186265436,6.02707579077841,9.4539275377816,0.000183436468232081,0.99999893620778,-4.33520049550953,"Rmnd5a"
"1417109_PM_at",2.20307160182155,6.98001489022941,8.08443559676086,0.000394908553804066,0.99999893620778,-4.34171629776173,"Tinagl1"
"1417822_PM_at",-1.94784625583624,6.4157393738871,-7.94269068929387,0.000430288745581139,0.99999893620778,-4.34256889173806,"D17H6S56E-5"
"1450915_PM_at",1.69457977050872,6.71043403652941,7.75611116998289,0.000482727143798815,0.99999893620778,-4.34375527994786,"Ap3b1"
"1438239_PM_at",3.11299883602457,6.97479934554916,7.52834951924157,0.000557304986002037,0.99999893620778,-4.34531072858978,"Mid1"
"1436193_PM_at",2.58035197802312,6.44968942173261,7.38536060347952,0.000611074836279488,0.99999893620778,-4.34635266885671,"Man1c1"
"1438164_PM_x_at",3.08318202948466,7.02076974625364,7.31285616978192,0.000640664321536371,0.99999893620778,-4.34690161059129,"Flot2"
"1437708_PM_x_at",-2.86558821254259,6.67161195455454,-7.15157667355562,0.000712750779697966,0.99999893620778,-4.34817538192309,"Vamp3"
"1455869_PM_at",-3.52002936435203,7.15050928403461,-7.10777134811445,0.000733951597282814,0.99999893620778,-4.34853445984382,"---"
"1450110_PM_at",-1.80428855138831,8.16887862532051,-6.90199594420157,0.000844035465219893,0.99999893620778,-4.35030114035752,"Adh7"
"1427279_PM_at",1.86655681423218,6.87195319326076,6.79649095682926,0.000907959571489535,0.99999893620778,-4.35126101383896,"Clip4"
"1440862_PM_at",3.18086448333992,6.79868663820312,6.69313515019901,0.000976166695951585,0.99999893620778,-4.35223929486364,"---"
"1430023_PM_at",-1.58957072679744,6.08971486588094,-6.6212697456136,0.00102714936531178,0.99999893620778,-4.35294268330947,"Spata24"
"1438133_PM_a_at",2.28503035135297,6.49106721937616,6.61742754190872,0.00102996200473638,0.99999893620778,-4.35298084015518,"Cyr61"
"1424072_PM_at",1.75523088662279,7.03134564175389,6.41804116953636,0.00118915084303473,0.99999893620778,-4.35504125317394,"2010107G23Rik"
"1418453_PM_a_at",2.13639642678233,6.77744122608282,6.14982013604274,0.0014511769465515,0.99999893620778,-4.35808202506758,"Atp1b1"
"1431054_PM_at",1.63736810225021,6.41972879424578,6.13262798183125,0.00147016403715586,0.99999893620778,-4.35828833891444,"Lsm6"
