"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"1418382_PM_at",-2.92200138451277,6.74261969263803,-11.4289979065528,7.13206679361974e-05,0.112553185976953,2.04845550270105,"Apcdd1"
"1450110_PM_at",-2.15621041173221,8.16887862532051,-10.1019560481104,0.00013207655879797,0.129610172623895,1.61498781595174,"Adh7"
"1449070_PM_x_at",-3.08572798995906,6.82707966782944,-9.73395377778635,0.000158773798939753,0.136016810373748,1.47766059213574,"Apcdd1"
"1422111_PM_at",-2.09630984951013,6.11005657029108,-9.56889716603572,0.000172798024435898,0.136034584927062,1.41335230020464,"Ackr2"
"1455359_PM_at",-2.33939577252882,6.55572027191066,-9.36626831077269,0.000192071034535288,0.13853917040105,1.331995228091,"Ptpn14"
"1438211_PM_s_at",-2.32795688206947,8.45965993247629,-8.38425946885081,0.00033076833183697,0.146384443798555,0.896557145215541,"Dbp"
"1418383_PM_at",-2.49147650697621,7.30588187390426,-8.24011514993918,0.000359933576431256,0.150442236793364,0.826373650098339,"Apcdd1"
"1433923_PM_at",-5.90280379255209,7.40086517298377,-8.18133187426075,0.000372692401837786,0.15247377451864,0.797254547771894,"Krt77"
"1419619_PM_at",-2.36659598254523,6.66560854682781,-7.85876303049088,0.000452999361982255,0.15247377451864,0.632149503133315,"Krt80"
"1421499_PM_a_at",-2.19806599813245,7.35283577439845,-7.38752749852495,0.000610215582235351,0.15247377451864,0.373826725999995,"Ptpn14"
"1421006_PM_at",-2.24295332149828,6.3676297320368,-7.38484975557031,0.000611277613861026,0.15247377451864,0.372297569536355,"Col4a6"
"1438033_PM_at",-1.55612582545938,6.49720591066145,-7.25559544686566,0.000665229652619958,0.15247377451864,0.2976282037661,"Tef"
"1446963_PM_at",-1.09480331410424,6.00819113459985,-6.93555535181505,0.000824821665998293,0.15247377451864,0.105290856773331,"---"
"1455493_PM_at",-1.28847616665352,6.11063590059867,-6.7819013378832,0.000917239964468391,0.15247377451864,0.00901973327326289,"Syne1"
"1418049_PM_at",-1.05111277616939,7.32873581180788,-6.43579186315356,0.0011738614804082,0.154682686268748,-0.217696311765657,"Ltbp3"
"1421365_PM_at",-2.134044618451,6.85432388129637,-6.39592057058384,0.00120853225054302,0.155004150940761,-0.244723260134352,"Fst"
"1434561_PM_at",-1.21492003730819,6.39346541958592,-6.32758262830689,0.00127079043693775,0.156445899117964,-0.291496844307704,"Asxl1"
"1419188_PM_s_at",-3.63717944879735,8.77853460524488,-6.24229622393689,0.00135384055897185,0.15690130702172,-0.350678960721093,"Ccl27a /// Ccl27b /// Gm13306 /// Gm2506 /// LOC100861978"
"1456372_PM_at",-1.16952182055547,6.70158875666565,-5.74644180408575,0.00198418864113322,0.164639435395268,-0.713314288570854,"---"
"1457184_PM_at",-1.55771195172213,7.40953408340996,-5.67872714684474,0.00209464635437105,0.166517859777506,-0.765397782948532,"---"
"1456253_PM_s_at",-1.06083064559077,9.43326710258029,-5.52445009422494,0.00237423971236311,0.172863798154489,-0.886466299295548,"Klhl17"
"1454973_PM_at",-1.05061477748018,6.63563985112298,-5.50335450300386,0.00241576141920175,0.172893467448527,-0.903284671569232,"Atf7ip"
"1460276_PM_a_at",-1.34596069160257,7.03516213741052,-5.45273785969378,0.00251888882808431,0.17386110181736,-0.943900844973447,"Tpra1"
"1418008_PM_at",-1.71889248747038,6.25622325368417,-5.42809005601558,0.00257095962262243,0.175033469610629,-0.963813729569582,"Paxbp1"
"1452166_PM_a_at",-3.79792678446069,10.1081244486266,-5.4121683183387,0.00260526270539887,0.175033469610629,-0.976724051115057,"Krt10"
"1456569_PM_x_at",-1.43383274916741,6.42687190751526,-5.35869576279434,0.00272443432484017,0.175033469610629,-1.02035553947332,"Gsn"
"1436991_PM_x_at",-1.69503757844622,9.62187700192628,-5.35485465182556,0.00273323652911423,0.175033469610629,-1.02350598052356,"Gsn"
"1436524_PM_at",-1.26776916223344,7.09411331237266,-5.32182406833862,0.00281031109866776,0.176194796256891,-1.05068769366407,"4833438C02Rik"
"1415921_PM_a_at",-2.31985131979994,6.65699515309341,-5.25617964997517,0.00297112672946794,0.176956636210883,-1.10519161662163,"Tnfrsf19"
"1419618_PM_at",-3.90571468135768,6.81926861826695,-5.23653822049689,0.00302130857355737,0.176956636210883,-1.12162558750192,"Bbox1"
"1423003_PM_at",-1.33390484634924,7.48022177680115,-4.99575633802346,0.00372401633606153,0.182915005596543,-1.32788749665067,"Setd7"
"1427569_PM_a_at",-1.07183762681822,7.36747818254822,-4.92078145355287,0.00398039859481915,0.185074256352426,-1.39395924659276,"Utrn"
"1447800_PM_x_at",-1.24063783351179,7.30720520485446,-4.9185427591799,0.00398836314860084,0.185074256352426,-1.39594580553992,"Tcn2"
"1444261_PM_at",-1.51474583042837,6.62769550694952,-4.88805409663639,0.00409869258315641,0.186143482269826,-1.4230802015453,"---"
"1418188_PM_a_at",-1.07942748342315,9.56136516158409,-4.88801160658084,0.00409884879213644,0.186143482269826,-1.42311812057837,"Malat1"
"1437171_PM_x_at",-1.77389291468283,9.52001471238778,-4.86969419342803,0.00416683766839582,0.186328719732639,-1.43949189471742,"Gsn"
"1417852_PM_x_at",-1.58219974611205,6.13953493097957,-4.80787042379417,0.00440615285587302,0.190288493748595,-1.49515385236728,"Clca1"
