"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"1451593_PM_at",-6.91040834494223,8.79146330929395,-15.0350310840096,1.78429032282032e-05,0.310145652803046,1.86596933946681,"H2-K1 /// H2-Q5"
"1422111_PM_at",-2.70546655774522,6.11005657029108,-10.0833061385024,0.000133294753572035,0.310145652803046,1.01585632291877,"Ackr2"
"1436193_PM_at",-3.40877775636524,6.44968942173261,-9.75644143213536,0.000156969246357108,0.310145652803046,0.927842157864771,"Man1c1"
"1418382_PM_at",-2.37506804178655,6.74261969263803,-7.58504500943669,0.000537541558108279,0.334488137813978,0.170239118469536,"Apcdd1"
"1431068_PM_at",-1.51638029828176,6.02707579077841,-7.5398856665235,0.000553215150836689,0.334488137813978,0.150580799407924,"Rmnd5a"
"1424072_PM_at",-1.90719211305105,7.03134564175389,-6.97369080789609,0.000803608710513803,0.334488137813978,-0.112640746437097,"2010107G23Rik"
"1438033_PM_at",-1.83172925760398,6.49720591066145,-6.9733907616685,0.000803773090521773,0.334488137813978,-0.112788874658012,"Tef"
"1421499_PM_a_at",-2.48680073713098,7.35283577439845,-6.82423132822884,0.000890616556145561,0.334488137813978,-0.187625538467044,"Ptpn14"
"1431909_PM_at",-1.40965909728751,6.59136441989833,-6.70699836718465,0.000966677026778458,0.346234132388125,-0.24815954700451,"Zc3hav1"
"1440862_PM_at",-3.08089317227247,6.79868663820312,-6.48277677133011,0.00113449152132372,0.35085937122445,-0.368310238010964,"---"
"1418383_PM_at",-2.38001902575162,7.30588187390426,-6.42704415445513,0.00118136722289873,0.360324985195077,-0.399094238715963,"Apcdd1"
"1419619_PM_at",-2.36420196603452,6.66560854682781,-6.41016214511876,0.00119601212017819,0.36038039786006,-0.408492962536298,"Krt80"
"1455359_PM_at",-1.92650244397058,6.55572027191066,-6.29777047651533,0.00129912344638891,0.360719723624581,-0.471953612244426,"Ptpn14"
"1455493_PM_at",-1.454934343853,6.11063590059867,-6.25277561169473,0.00134330038393544,0.360719723624581,-0.497798550773441,"Syne1"
"1442018_PM_at",-1.83414104445205,6.15389943467011,-6.24563544346482,0.00135047148473791,0.360719723624581,-0.501923223197642,"Btg1"
"1440283_PM_at",-1.61710763824928,6.09543312866326,-6.05141846697399,0.00156388025692463,0.364900141568079,-0.616619880545456,"1810059H22Rik"
"1449070_PM_x_at",-2.27012431747888,6.82707966782944,-5.84703442845124,0.00183240956056568,0.36666585702256,-0.742699468978845,"Apcdd1"
"1457682_PM_at",-2.10866125606056,6.27658738545178,-5.84701002140946,0.00183244470536213,0.36666585702256,-0.742714864510199,"Arhgap42"
"1427279_PM_at",-1.5981102885901,6.87195319326076,-5.8190257278005,0.00187326396669719,0.368571428892355,-0.760421118705515,"Clip4"
"1454015_PM_a_at",-2.53441773462901,7.63870294988166,-5.68635375777764,0.00208185321327304,0.376386858645329,-0.845858578424509,"Cdh13"
"1452956_PM_a_at",-1.28022525276486,7.84363565117222,-5.56174188921699,0.00230285792293402,0.385254443179761,-0.928398950024329,"Ifi27"
"1448026_PM_at",-1.5942107870327,6.36059163013888,-5.55258779851143,0.00232014561176238,0.385254443179761,-0.934551734011397,"Chd7"
"1429153_PM_at",-1.16520332141685,6.50760241771436,-5.48324863352171,0.00245612507880724,0.385254443179761,-0.981559742798327,"6530406A20Rik"
"1438429_PM_at",-1.26887376103511,6.30089258078808,-5.42574803186553,0.00257597230744968,0.385254443179761,-1.02108679397727,"2610319H10Rik"
"1431133_PM_at",-1.69231548237454,6.12061938827562,-5.33688944215344,0.00277484739833676,0.385254443179761,-1.08315645215919,"Arhgap18"
"1438239_PM_at",-2.17444563084212,6.97479934554916,-5.25859069721736,0.0029650338230245,0.385254443179761,-1.13885819036946,"Mid1"
"1419618_PM_at",-4.65473868271287,6.81926861826695,-5.09557782129855,0.00341183403329826,0.395921851149401,-1.25792488539027,"Bbox1"
"1452296_PM_at",-2.29667507813409,6.31458480525972,-4.92316595502738,0.0039719355826057,0.411543602963305,-1.38853879879284,"Slit3"
"1419188_PM_s_at",-3.4663977916566,8.77853460524488,-4.85749559314714,0.00421284048909139,0.421362259055871,-1.43958697689336,"Ccl27a /// Ccl27b /// Gm13306 /// Gm2506 /// LOC100861978"
"1428340_PM_s_at",-1.06009164908716,6.47367223982986,-4.82924096977439,0.0043216716412407,0.423349485363206,-1.46177439497097,"Atp13a2"
