"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"1416802_PM_a_at",2.7967200833557,6.74903825069733,14.3604868692938,2.2528923753719e-05,0.310145652803046,1.78811433200631,"Cdca5"
"1419309_PM_at",3.62147153942648,6.6109498634967,11.643936829177,6.49555191781128e-05,0.310145652803046,1.36803351684113,"Pdpn"
"1416431_PM_at",4.30419206103165,6.89797463360948,10.9897233338484,8.67870580133242e-05,0.310145652803046,1.23284334472844,"Tubb6"
"1416200_PM_at",2.50822165344886,6.73228137375224,10.6796184107572,0.000100128783889434,0.310145652803046,1.16277575339598,"Il33"
"1441520_PM_at",2.98122961618799,6.94495275248763,10.628394431918,0.00010255997426239,0.310145652803046,1.15080197817882,"Aspm"
"1437708_PM_x_at",4.11804045491482,6.67161195455454,10.2772903410278,0.00012124574143772,0.310145652803046,1.06550748078155,"Vamp3"
"1448896_PM_at",2.3389157326947,6.84693916575441,10.1571330564734,0.000128548920379788,0.310145652803046,1.03497239476434,"Pigf"
"1435639_PM_at",3.87983413444623,7.83834796081039,10.0123697695984,0.000138051492728969,0.310145652803046,0.997229062322242,"2610528A11Rik"
"1455806_PM_x_at",2.08081054013648,7.64903261307691,9.64723942301598,0.000165966245806852,0.310145652803046,0.897159182582942,"Ndufa12"
"1416558_PM_at",2.44485391037404,6.43578769296732,9.5506410717361,0.000174437535148492,0.310145652803046,0.869461186305816,"Melk"
"1446353_PM_at",3.15278256340854,9.56680741621729,9.48703062733527,0.000180295798420989,0.310145652803046,0.850930649639867,"Tubb6"
"1452614_PM_at",5.1171632539161,7.35508121436573,9.48019108389991,0.000180939454218476,0.310145652803046,0.848924248819073,"Bcl2l15"
"1436816_PM_at",2.35904693307888,7.29666963257194,9.42687559795885,0.000186051189436975,0.310145652803046,0.833190198837119,"Nup133"
"1421874_PM_a_at",1.84221006109478,6.70688692011635,9.35050641010386,0.000193674169814973,0.310145652803046,0.810359953118272,"Mrps23"
"1448894_PM_at",2.71891649003165,6.30930036733124,9.20253717931874,0.000209522456331264,0.310145652803046,0.765122105586667,"Akr1b8"
"1420592_PM_a_at",3.38506519516761,6.48503405832572,9.16806553306872,0.000213431983991249,0.310145652803046,0.754389306709075,"Anp32e"
"1443265_PM_at",2.08158874935521,6.67757377781314,9.12159235906399,0.000218840087416535,0.310145652803046,0.739801675817754,"Cd44"
"1418326_PM_at",3.36533881840307,6.8620987545144,8.95229786793247,0.000239960854755406,0.310145652803046,0.685490980123945,"Slc7a5"
"1436990_PM_s_at",3.10817429166465,6.58807610130158,8.78681046069245,0.000262975188910729,0.320836837908628,0.630571973622423,"Chchd10"
"1417822_PM_at",2.11501530807877,6.4157393738871,8.62435233009664,0.000288148647614667,0.328460099856392,0.574827704177388,"D17H6S56E-5"
"1422588_PM_at",6.96953341353779,7.79227260094075,8.44109767553872,0.000320041243052665,0.334000474344517,0.509680012294349,"Krt6b"
"1452040_PM_a_at",2.36731444684677,7.41903502583505,8.41172453002876,0.000325532683820619,0.334000474344517,0.499007425211282,"Cdca3"
