Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	2121	0.11	0.12	-0.466	1	0.11	0.12	-0.466	0.803
1q	1955	0.11	0.14	-0.42	1	0.22	0.25	0.299	0.553
2p	924	0.11	0.25	-0.287	1	0.56	0.62	1.87	0.0849
2q	1556	0.00	0.00	-0.999	1	0.67	0.67	2.89	0.0107
3p	1062	0.11	0.20	-0.497	1	0.44	0.50	1.22	0.207
3q	1139	0.11	0.20	-0.461	1	0.44	0.50	1.28	0.196
4p	489	0.00	NaN	NaN	1	1.00	1.00	3.97	0.00023
4q	1049	0.00	NaN	NaN	1	1.00	1.00	4.54	3.58e-05
5p	270	0.11	0.25	-0.56	1	0.56	0.62	1.39	0.179
5q	1427	0.11	0.25	-0.0606	1	0.56	0.62	2.32	0.0394
6p	1173	0.00	NaN	NaN	1	1.00	1.00	4.69	2.66e-05
6q	839	0.00	NaN	NaN	1	1.00	1.00	4.32	7.77e-05
7p	641	0.44	0.50	0.91	1	0.11	0.20	-0.69	0.866
7q	1277	0.44	0.50	1.39	0.533	0.11	0.20	-0.395	0.797
8p	580	0.33	0.75	1.66	0.473	0.56	0.83	2.46	0.0301
8q	859	0.33	0.75	1.82	0.445	0.56	0.83	2.67	0.0186
9p	422	0.11	0.33	-0.132	1	0.67	0.75	2.22	0.0462
9q	1113	0.33	0.60	1.48	0.533	0.44	0.67	1.98	0.0768
10p	409	0.00	0.00	-1.54	1	0.56	0.56	1.14	0.225
10q	1268	0.00	0.00	-1.25	1	0.56	0.56	1.84	0.0857
11p	862	0.11	0.17	-0.821	1	0.33	0.38	0.312	0.553
11q	1515	0.11	0.17	-0.491	1	0.33	0.38	0.786	0.351
12p	575	0.11	0.17	-0.959	1	0.33	0.38	0.125	0.627
12q	1447	0.11	0.17	-0.527	1	0.33	0.38	0.733	0.362
13q	654	0.00	0.00	-1.78	1	0.33	0.33	-0.0768	0.714
14q	1341	0.11	0.14	-0.77	1	0.22	0.25	-0.143	0.724
15q	1355	0.22	0.25	-0.134	1	0.11	0.14	-0.763	0.866
16p	872	0.22	0.29	-0.207	1	0.22	0.29	-0.207	0.732
16q	702	0.22	0.25	-0.54	1	0.11	0.14	-1.1	0.879
17p	683	0.00	NaN	NaN	1	1.00	1.00	4.16	0.000126
17q	1592	0.00	NaN	NaN	1	1.00	1.00	5.26	2.89e-06
18p	143	0.11	0.25	-0.612	1	0.56	0.62	1.3	0.196
18q	446	0.11	0.25	-0.488	1	0.56	0.62	1.51	0.154
19p	995	0.00	0.00	-1.5	1	0.44	0.44	0.877	0.322
19q	1709	0.00	0.00	-1.23	1	0.44	0.44	1.5	0.154
20p	355	0.78	0.78	2.48	0.129	0.00	0.00	-1.1	0.879
20q	753	0.78	0.78	2.81	0.0953	0.00	0.00	-1	0.879
21q	509	0.00	0.00	-1.3	1	0.67	0.67	1.91	0.0842
22q	921	0.11	0.12	-1.17	1	0.11	0.12	-1.17	0.879
