Chromosome Arm	S14P1	S142P1	S142P2C	S159P2	SCS6P2N	SCS18P5	SL14P0	SL14P1	SL14Skin
1p	0.000	0.000	0.000	0.000	-0.525	0.456	0.000	0.000	0.000
1q	0.917	0.000	0.000	0.000	-0.525	-0.133	0.000	0.000	0.000
2p	-0.318	-0.419	0.000	-0.123	-0.236	-0.335	0.000	0.126	0.000
2q	-0.434	-0.419	-0.412	-0.240	-0.411	-0.335	0.000	0.000	0.000
3p	0.000	-0.873	-0.214	-0.479	0.000	-0.368	0.000	0.246	0.000
3q	0.000	-0.873	-0.214	-0.479	0.000	-0.368	0.000	0.246	0.000
4p	-1.293	-1.293	-1.293	-1.293	-1.293	-1.293	-1.293	-1.290	-1.293
4q	-1.293	-1.293	-1.293	-1.293	-1.293	-1.293	-1.293	-1.290	-1.293
5p	-0.304	0.000	0.000	-0.527	0.370	-0.230	-0.172	-0.322	0.000
5q	-0.304	0.000	0.000	-0.527	0.370	-0.230	-0.172	-0.322	0.000
6p	-1.293	-1.293	-1.293	-1.293	-1.293	-1.293	-1.293	-1.293	-1.292
6q	-1.293	-1.293	-1.293	-1.293	-1.293	-1.293	-1.293	-1.293	-1.292
7p	0.097	0.000	0.000	1.052	-0.136	0.713	0.354	0.910	0.000
7q	-0.674	0.000	0.000	1.052	0.000	0.713	0.354	0.910	0.000
8p	-0.250	-0.141	-0.614	0.786	-0.731	-0.725	0.202	0.582	0.000
8q	-0.250	-0.141	-0.614	0.786	-0.731	-0.725	0.202	0.582	0.000
9p	-0.963	-1.293	-1.293	-0.974	-0.585	-1.293	0.242	0.000	0.000
9q	-0.963	-1.293	-1.293	0.873	0.599	-0.767	0.242	0.000	0.000
10p	0.000	-0.154	-0.147	-0.418	-0.471	-0.363	0.000	0.000	0.000
10q	0.000	-0.154	-0.147	-0.418	-0.471	-0.363	0.000	0.000	0.000
11p	-0.161	0.000	0.000	0.000	0.177	-0.413	0.000	-0.106	0.000
11q	-0.161	0.000	0.000	0.000	0.177	-0.413	0.000	-0.106	0.000
12p	0.000	-0.774	-0.564	0.000	0.174	-0.349	0.000	0.000	0.000
12q	0.000	-0.774	-0.564	0.000	0.174	-0.349	0.000	0.000	0.000
13q	-0.438	0.000	0.000	0.000	-0.901	-0.365	0.000	0.000	0.000
14q	0.000	-0.201	-0.184	0.000	0.192	0.000	0.000	0.000	0.000
15q	0.000	0.000	0.000	0.000	-0.903	0.191	0.000	0.196	0.000
16p	-0.243	0.391	0.000	0.000	-0.906	0.586	0.000	0.000	0.000
16q	-0.243	0.000	0.000	0.000	0.325	0.586	0.000	0.000	0.000
17p	-1.222	-1.257	-1.293	-1.293	-1.042	-1.248	-1.244	-1.202	-1.280
17q	-1.222	-1.257	-1.293	-1.293	-1.042	-1.248	-1.244	-1.202	-1.280
18p	-0.791	-0.644	-0.652	-0.794	-0.738	0.217	0.000	0.000	0.000
18q	-0.791	-0.644	-0.652	-0.794	-0.738	0.217	0.000	0.000	0.000
19p	-0.312	-1.293	-1.293	-0.437	0.000	0.000	0.000	0.000	0.000
19q	-0.312	-1.293	-1.293	-0.437	0.000	0.000	0.000	0.000	0.000
20p	1.443	0.127	0.000	1.036	0.182	0.535	0.329	0.959	0.000
20q	1.443	0.127	0.000	1.036	0.182	0.535	0.329	0.959	0.000
21q	0.000	0.000	-0.689	-0.419	-0.859	-1.293	-0.417	-1.008	0.000
22q	-0.230	0.000	0.000	0.000	0.000	1.132	0.000	0.000	0.000
