Chromosome Arm	# amp	freq_amp	# del	freq_del
1p	1	0.111	1	0.111
1q	1	0.111	2	0.222
2p	1	0.111	3	0.333
2q	0	0.000	4	0.444
3p	1	0.111	3	0.333
3q	1	0.111	3	0.333
4p	0	0.000	7	0.778
4q	0	0.000	7	0.778
5p	1	0.111	4	0.444
5q	1	0.111	4	0.444
6p	0	0.000	7	0.778
6q	0	0.000	7	0.778
7p	4	0.444	1	0.111
7q	4	0.444	0	0.000
8p	3	0.333	3	0.333
8q	3	0.333	3	0.333
9p	1	0.111	4	0.444
9q	3	0.333	2	0.222
10p	0	0.000	4	0.444
10q	0	0.000	4	0.444
11p	1	0.111	2	0.222
11q	1	0.111	2	0.222
12p	1	0.111	2	0.222
12q	1	0.111	2	0.222
13q	0	0.000	2	0.222
14q	1	0.111	1	0.111
15q	2	0.222	1	0.111
16p	2	0.222	1	0.111
16q	2	0.222	0	0.000
17p	0	0.000	7	0.778
17q	0	0.000	7	0.778
18p	1	0.111	3	0.333
18q	1	0.111	3	0.333
19p	0	0.000	2	0.222
19q	0	0.000	2	0.222
20p	7	0.778	0	0.000
20q	7	0.778	0	0.000
21q	0	0.000	6	0.667
22q	1	0.111	0	0.000
