Chr	BeginPos	EndPos	NbrOfProbes	CN	CN_Allel1	CN_Allel2	BeginRS	EndRS	LogR	BAF	SampleName
1	855000	121335000	3785				1:840001-870000	1:121320001-121350000	-0.439469220607662	0.5	SCS6P2N
1	145395000	249195000	3211				1:145380001-145410000	1:249180001-249210000	-0.280071628776082	0.5	SCS6P2N
2	45000	89115000	2863				2:30001-60000	2:89100001-89130000	0.120632902549773	0.5	SCS6P2N
2	95595000	242775000	4616				2:95580001-95610000	2:242760001-242790000	-0.331687175043328	0.5	SCS6P2N
2	242805000	242985000	12				2:242790001-242820000	2:242970001-243000000	-0.519416666666667	0.5	SCS6P2N
3	105000	197655000	6283				3:90001-120000	3:197640001-197670000	-0.0457289511379914	0.5	SCS6P2N
3	197685000	197805000	5				3:197670001-197700000	3:197790001-197820000	0.4172	0.5	SCS6P2N
3	199501837	199501877	5				chr3_10	chr3_50	0.4172		SCS6P2N
4	105000	190425000	5993				4:90001-120000	4:190410001-190440000	-1.84896779576172	0.5	SCS6P2N
4	190455000	190785000	5				4:190440001-190470000	4:190770001-190800000	0.0894	0.5	SCS6P2N
4	191273073	191273113	5				chr4_10	chr4_50	0.0894		SCS6P2N
5	75000	180675000	5612				5:60001-90000	5:180660001-180690000	0.244805412141713	0.5	SCS6P2N
5	180857876	180857916	5				chr5_10	chr5_50	0.244805412141713		SCS6P2N
6	225000	170745000	5349				6:210001-240000	6:170730001-170760000	-23.2356969527014	0.5	SCS6P2N
6	170775000	170895000	5				6:170760001-170790000	6:170880001-170910000	-0.1417	0.5	SCS6P2N
6	170900002	170900042	5				chr6_10	chr6_50	-0.1417		SCS6P2N
7	45000	57615000	1765				7:30001-60000	7:57600001-57630000	-0.101780736543909	0.5	SCS6P2N
7	62625000	158655000	2870				7:62610001-62640000	7:158640001-158670000	0.0217299651567944	0.5	SCS6P2N
7	158685000	158955000	15				7:158670001-158700000	7:158940001-158970000	-0.5736	0.5	SCS6P2N
7	158985000	159105000	5				7:158970001-159000000	7:159090001-159120000	-0.8982	0.5	SCS6P2N
8	195000	146115000	4523				8:180001-210000	8:146100001-146130000	-0.656217112535928	0.5	SCS6P2N
8	146145000	146295000	11				8:146130001-146160000	8:146280001-146310000	0.342818181818182	0.5	SCS6P2N
9	225000	38775000	1240				9:210001-240000	9:38760001-38790000	-0.498897580645161	0.5	SCS6P2N
9	71055000	140985000	2245				9:71040001-71070000	9:140970001-141000000	0.670903340757238	0.5	SCS6P2N
10	135000	135165000	4032				10:120001-150000	10:135150001-135180000	-0.387203373015873	0.5	SCS6P2N
10	135195000	135405000	11				10:135180001-135210000	10:135390001-135420000	-0.409545454545455	0.5	SCS6P2N
11	225000	134925000	4084				11:210001-240000	11:134910001-134940000	0.122605778648384	0.5	SCS6P2N
12	195000	133815000	4171				12:180001-210000	12:133800001-133830000	0.120435866698633	0.5	SCS6P2N
13	19545000	115095000	3071				13:19530001-19560000	13:115080001-115110000	-0.863504395962227	0.5	SCS6P2N
14	20205000	107295000	2809				14:20190001-20220000	14:107280001-107310000	0.132243503025988	0.5	SCS6P2N
15	22335000	102375000	2437				15:22320001-22350000	15:102360001-102390000	-0.866998358637669	0.5	SCS6P2N
16	105000	35115000	901				16:90001-120000	16:35100001-35130000	-0.870469478357381	0.5	SCS6P2N
16	46545000	90135000	1396				16:46530001-46560000	16:90120001-90150000	0.69193123209169	0.5	SCS6P2N
17	15000	78615000	2265				17:1-30000	17:78600001-78630000	-1.06190375275938	0.5	SCS6P2N
17	78645000	78915000	15				17:78630001-78660000	17:78900001-78930000	-0.1352	0.5	SCS6P2N
17	78945000	81075000	70				17:78930001-78960000	17:81060001-81090000	-0.296085714285714	0.5	SCS6P2N
18	165000	78015000	2413				18:150001-180000	18:78000001-78030000	-0.66401409034397	0.5	SCS6P2N
19	285000	59085000	1588				19:270001-300000	19:59070001-59100000	0.0609686126804771	0.5	SCS6P2N
19	63811661	63811701	5				chr19_10	chr19_50	0.0609686126804771		SCS6P2N
20	75000	62895000	1933				20:60001-90000	20:62880001-62910000	0.125848939472323	0.5	SCS6P2N
21	15495000	48075000	1063				21:15480001-15510000	21:48060001-48090000	-0.809856067732832	0.5	SCS6P2N
22	17295000	51165000	1020				22:17280001-17310000	22:51150001-51180000	-0.0304077669902913	0.5	SCS6P2N
X	154913764	154913804	5				chrX_10	chrX_50	-0.0304077669902913		SCS6P2N
Y	57772964	57773004	5				chrY_10	chrY_50	-0.0304077669902913		SCS6P2N
