Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	S14P1	S142P1	S142P2C	S159P2	SCS6P2N	SCS18P5	SL14P0	SL14P1	SL14Skin	
Amplification Peak 1	3q29  	chr3:197645001-198022430(probes 65832:65845)  	chr3:197655001-198022430(probes 65833:65845)  	chr3:197655001-198022430(probes 65833:65845)  	0.0022687	  0.0022687		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	1	1	0	1	0	0	1	0	
Amplification Peak 2	8q24.3	chr8:146105001-146364022(probes 150033:150049)	chr8:146115001-146364022(probes 150034:150049)	chr8:146115001-146364022(probes 150034:150049)	2.7853e-06	 2.7853e-06		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	1	1	1	1	1	1	1	0	
Amplification Peak 3	9q34.3	chr9:140405001-141213431(probes 160840:160895)	chr9:140415001-141213431(probes 160841:160895)	chr9:140415001-141213431(probes 160841:160895)	0.0016109	  0.0016109		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	2	2	2	1	0	0	
Deletion Peak 1	2q37.3	chr2:242755001-243199373(probes 46056:46076)	chr2:242765001-243199373(probes 46057:46076)	chr2:242775001-242824999(probes 46058:46059)	0.0011899	  0.0011899		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	0	1	0	
Deletion Peak 2	18q23 	chr18:74975001-78077248(probes 250962:251261)	chr18:76725001-78077248(probes 251133:251261)	chr18:76245001-78077248(probes 251087:251261)	0.00013088	 0.00013088		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	1	1	0	0	0	0	
Amplification Peak 1 - CN values	3q29  	chr3:197645001-198022430(probes 65832:65845)  	chr3:197655001-198022430(probes 65833:65845)  	chr3:197655001-198022430(probes 65833:65845)  	0.0022687	  0.0022687		Actual Copy Change Given	-0.037313	0.51438	0.53327	0.011679	0.67067	0.0871	-0.075964	0.4424	0.00012293	
Amplification Peak 2 - CN values	8q24.3	chr8:146105001-146364022(probes 150033:150049)	chr8:146115001-146364022(probes 150034:150049)	chr8:146115001-146364022(probes 150034:150049)	2.7853e-06	 2.7853e-06		Actual Copy Change Given	0.92706	0.48411	0.58568	0.76778	0.53646	0.2027	0.20239	0.58204	-0.001274	
Amplification Peak 3 - CN values	9q34.3	chr9:140405001-141213431(probes 160840:160895)	chr9:140415001-141213431(probes 160841:160895)	chr9:140415001-141213431(probes 160841:160895)	0.0016109	  0.0016109		Actual Copy Change Given	0.060283	0.012327	0.027394	1.1213	1.1841	1.0872	0.24217	-0.024901	-0.00060877	
Deletion Peak 1 - CN values	2q37.3	chr2:242755001-243199373(probes 46056:46076)	chr2:242765001-243199373(probes 46057:46076)	chr2:242775001-242824999(probes 46058:46059)	0.0011899	  0.0011899		Actual Copy Change Given	-0.43359	-0.64559	-0.56389	-0.24046	-0.60469	-0.33516	-0.060076	-0.72654	-0.0040505	
Deletion Peak 2 - CN values	18q23 	chr18:74975001-78077248(probes 250962:251261)	chr18:76725001-78077248(probes 251133:251261)	chr18:76245001-78077248(probes 251087:251261)	0.00013088	 0.00013088		Actual Copy Change Given	-0.79076	-0.98689	-0.88973	-0.79398	-0.73776	0.21737	-0.03674	-0.045105	-0.0059482	
