Probe Set ID,Gene Title,Gene Symbol
1415670_PM_at,"coatomer protein complex, subunit gamma 1",Copg1
1415671_PM_at,"ATPase, H+ transporting, lysosomal V0 subunit D1",Atp6v0d1
1415672_PM_at,"golgi autoantigen, golgin subfamily a, 7",Golga7
1415673_PM_at,phosphoserine phosphatase,Psph
1415674_PM_a_at,trafficking protein particle complex 4,Trappc4
1415675_PM_at,dolichol-phosphate (beta-D) mannosyltransferase 2,Dpm2
1415676_PM_a_at,"proteasome (prosome, macropain) subunit, beta type 5",Psmb5
1415677_PM_at,dehydrogenase/reductase (SDR family) member 1,Dhrs1
1415678_PM_at,"protein phosphatase 1A, magnesium dependent, alpha isoform",Ppm1a
1415679_PM_at,presenilin enhancer 2 homolog (C. elegans),Psenen
1415680_PM_at,anaphase promoting complex subunit 1,Anapc1
1415681_PM_at,mitochondrial ribosomal protein L43,Mrpl43
1415682_PM_at,exportin 7,Xpo7
1415683_PM_at,N-myristoyltransferase 1,Nmt1
1415684_PM_at,autophagy related 5,Atg5
1415685_PM_at,mitochondrial translational initiation factor 2,Mtif2
1415686_PM_at,"RAB14, member RAS oncogene family",Rab14
1415687_PM_a_at,prosaposin,Psap
1415688_PM_at,ubiquitin-conjugating enzyme E2G 1,Ube2g1
1415689_PM_s_at,zinc finger with KRAB and SCAN domains 3,Zkscan3
1415690_PM_at,mitochondrial ribosomal protein L27,Mrpl27
1415691_PM_at,"discs, large homolog 1 (Drosophila)",Dlg1
1415692_PM_s_at,calnexin,Canx
1415693_PM_at,"Der1-like domain family, member 1",Derl1
1415694_PM_at,tryptophanyl-tRNA synthetase,Wars
1415695_PM_at,"proteasome (prosome, macropain) subunit, alpha type 1",Psma1
1415696_PM_at,SAR1 gene homolog A (S. cerevisiae),Sar1a
1415697_PM_at,GTPase activating protein (SH3 domain) binding protein 2,G3bp2
1415698_PM_at,golgi membrane protein 1,Golm1
1415699_PM_a_at,G protein pathway suppressor 1,Gps1
1415700_PM_a_at,"signal sequence receptor, gamma",Ssr3
1415701_PM_x_at,60S ribosomal protein L23-like /// 60S ribosomal protein L23-like /// ribosomal protein L23,LOC100044627 /// LOC100862455 /// Rpl23
1415702_PM_a_at,C-terminal binding protein 1,Ctbp1
1415703_PM_at,"HECT, UBA and WWE domain containing 1",Huwe1
1415704_PM_a_at,carnitine deficiency-associated gene expressed in ventricle 3,Cdv3
1415705_PM_at,small integral membrane protein 7,Smim7
1415706_PM_at,coatomer protein complex subunit alpha,Copa
1415707_PM_at,anaphase promoting complex subunit 2,Anapc2
1415708_PM_at,taurine upregulated gene 1,Tug1
1415709_PM_s_at,golgi-specific brefeldin A-resistance factor 1,Gbf1
1415710_PM_at,cytochrome c oxidase assembly protein 18,Cox18
1415711_PM_at,ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited),Arfgef1
1415712_PM_at,"zinc finger, RAN-binding domain containing 1",Zranb1
1415713_PM_a_at,DEAD (Asp-Glu-Ala-Asp) box polypeptide 24,Ddx24
1415714_PM_a_at,small nuclear ribonucleoprotein 27 (U4/U6.U5),Snrnp27
1415715_PM_at,transmembrane protein 129,Tmem129
1415716_PM_a_at,"ribosomal protein S27 /// ribosomal protein S27, retrogene",Rps27 /// Rps27rt
1415717_PM_at,ring finger protein 220,Rnf220
1415718_PM_at,SAP30-like,Sap30l
1415719_PM_s_at,armadillo repeat containing 1,Armc1
1415720_PM_s_at,MAD2L1 binding protein,Mad2l1bp
1415721_PM_a_at,"N(alpha)-acetyltransferase 60, NatF catalytic subunit",Naa60
1415722_PM_a_at,Vps20-associated 1 homolog (S. cerevisiae),Vta1
1415723_PM_at,eukaryotic translation initiation factor 5,Eif5
1415724_PM_a_at,cell division cycle 42,Cdc42
1415725_PM_at,RRN3 RNA polymerase I transcription factor homolog (yeast),Rrn3
1415726_PM_at,ankyrin repeat domain 17,Ankrd17
1415727_PM_at,apolipoprotein A-I binding protein,Apoa1bp
1415728_PM_at,"poly(A) binding protein, nuclear 1",Pabpn1
1415729_PM_at,3-phosphoinositide dependent protein kinase 1,Pdpk1
1415730_PM_at,cleavage and polyadenylation specific factor 7,Cpsf7
1415731_PM_at,angel homolog 2 (Drosophila),Angel2
1415732_PM_at,abhydrolase domain containing 16A,Abhd16a
1415733_PM_a_at,predicted pseudogene 8069 /// translocase of outer mitochondrial membrane 5 homolog (yeast),Gm8069 /// Tomm5
1415734_PM_at,"RAB7, member RAS oncogene family",Rab7
1415735_PM_at,damage specific DNA binding protein 1,Ddb1
1415736_PM_at,prefoldin 5,Pfdn5
1415737_PM_at,riboflavin kinase,Rfk
1415738_PM_at,thioredoxin domain containing 12 (endoplasmic reticulum),Txndc12
1415739_PM_at,RNA binding motif protein 42,Rbm42
1415740_PM_at,"protease (prosome, macropain) 26S subunit, ATPase 5",Psmc5
1415741_PM_at,transmembrane protein 165,Tmem165
1415742_PM_at,ancient ubiquitous protein 1,Aup1
1415743_PM_at,histone deacetylase 5,Hdac5
1415744_PM_at,prefoldin subunit 6,Pfdn6
1415745_PM_a_at,Down syndrome critical region gene 3,Dscr3
1415746_PM_at,capicua homolog (Drosophila),Cic
1415747_PM_s_at,RIO kinase 3,Riok3
1415748_PM_a_at,dynactin 5,Dctn5
1415749_PM_a_at,Ras-related GTP binding C,Rragc
1415750_PM_at,transducin (beta)-like 3,Tbl3
1415751_PM_at,"heterochromatin protein 1, binding protein 3",Hp1bp3
1415752_PM_at,cDNA sequence BC031181,BC031181
1415753_PM_at,abhydrolase domain containing 17A,Abhd17a
1415754_PM_at,polymerase (RNA) II (DNA directed) polypeptide F,Polr2f
1415755_PM_a_at,ubiquitin-conjugating enzyme E2 variant 1,Ube2v1
1415756_PM_a_at,SNAP-associated protein,Snapin
1415757_PM_at,golgi-specific brefeldin A-resistance factor 1,Gbf1
1415758_PM_at,furry homolog-like (Drosophila),Fryl
1415759_PM_a_at,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 5",Lamtor5
1415760_PM_s_at,ATX1 (antioxidant protein 1) homolog 1 (yeast),Atox1
1415761_PM_at,mitochondrial ribosomal protein L52,Mrpl52
1415762_PM_x_at,mitochondrial ribosomal protein L52,Mrpl52
1415763_PM_a_at,transmembrane protein 234,Tmem234
1415764_PM_at,"zinc finger, BED domain containing 6 /// zinc finger CCCH type containing 11A",Zbed6 /// Zc3h11a
1415765_PM_at,heterogeneous nuclear ribonucleoprotein U-like 2,Hnrnpul2
1415766_PM_at,SEC22 vesicle trafficking protein homolog B (S. cerevisiae),Sec22b
1415767_PM_at,YTH domain family 1,Ythdf1
1415768_PM_a_at,ubiquitin-conjugating enzyme E2R 2,Ube2r2
1415769_PM_at,"itchy, E3 ubiquitin protein ligase",Itch
1415770_PM_at,WD repeat domain 6,Wdr6
1415771_PM_at,nucleolin,Ncl
1415772_PM_at,nucleolin,Ncl
1415773_PM_at,nucleolin,Ncl
1415774_PM_at,elongator acetyltransferase complex subunit 2,Elp2
1415775_PM_at,retinoblastoma binding protein 7,Rbbp7
1415776_PM_at,"aldehyde dehydrogenase family 3, subfamily A2",Aldh3a2
1415777_PM_at,pancreatic lipase related protein 1,Pnliprp1
1415778_PM_at,mortality factor 4 like 2,Morf4l2
1415779_PM_s_at,"actin, gamma, cytoplasmic 1",Actg1
1415780_PM_a_at,"armadillo repeat containing, X-linked 2",Armcx2
1415781_PM_a_at,small ubiquitin-related modifier 2-like /// SMT3 suppressor of mif two 3 homolog 2 (yeast),LOC101056240 /// Sumo2
1415782_PM_at,small ubiquitin-related modifier 2-like /// SMT3 suppressor of mif two 3 homolog 2 (yeast),LOC101056240 /// Sumo2
1415783_PM_at,vacuolar protein sorting 35,Vps35
1415784_PM_at,vacuolar protein sorting 35,Vps35
1415785_PM_a_at,"chaperonin containing Tcp1, subunit 8 (theta)",Cct8
1415786_PM_at,progastricsin (pepsinogen C),Pgc
1415787_PM_at,alpha glucosidase 2 alpha neutral subunit,Ganab
1415788_PM_at,ubiquitin-like domain containing CTD phosphatase 1,Ublcp1
1415789_PM_a_at,ubiquitin-like domain containing CTD phosphatase 1,Ublcp1
1415790_PM_at,ubiquitin-like domain containing CTD phosphatase 1,Ublcp1
1415791_PM_at,ring finger protein 34,Rnf34
1415792_PM_at,RanBP-type and C3HC4-type zinc finger containing 1,Rbck1
1415793_PM_at,pyridoxine 5'-phosphate oxidase,Pnpo
1415794_PM_a_at,spindlin 1,Spin1
1415795_PM_at,spindlin 1,Spin1
1415796_PM_at,DAZ associated protein 2 /// predicted gene 2444,Dazap2 /// Gm2444
1415797_PM_at,"discoidin domain receptor family, member 1",Ddr1
