Chr	BeginPos	EndPos	NbrOfProbes	CN	CN_Allel1	CN_Allel2	BeginRS	EndRS	LogR	BAF	SampleName
1	855000	121335000	3785				1:840001-870000	1:121320001-121350000	0.035730250990753	0.5	S159P2
1	145395000	249195000	3211				1:145380001-145410000	1:249180001-249210000	0.0343245094985986	0.5	S159P2
2	45000	89115000	2863				2:30001-60000	2:89100001-89130000	0.0825274187914775	0.5	S159P2
2	95595000	242985000	4628				2:95580001-95610000	2:242970001-243000000	-0.184798184961106	0.5	S159P2
3	105000	197655000	6283				3:90001-120000	3:197640001-197670000	-0.395211045678816	0.5	S159P2
3	197685000	197805000	5				3:197670001-197700000	3:197790001-197820000	0.0084	0.5	S159P2
3	199501837	199501877	5				chr3_10	chr3_50	0.0084		S159P2
4	105000	190425000	5993				4:90001-120000	4:190410001-190440000	-2.43689070582346	0.5	S159P2
4	190455000	190785000	5				4:190440001-190470000	4:190770001-190800000	-0.2325	0.5	S159P2
4	191273073	191273113	5				chr4_10	chr4_50	-0.2325		S159P2
5	75000	180525000	5607				5:60001-90000	5:180510001-180540000	-0.441257178526841	0.5	S159P2
5	180555000	180675000	5				5:180540001-180570000	5:180660001-180690000	-0.6081	0.5	S159P2
5	180857876	180857916	5				chr5_10	chr5_50	-0.6081		S159P2
6	225000	170745000	5349				6:210001-240000	6:170730001-170760000	-26.1562793045429	0.5	S159P2
6	170775000	170895000	5				6:170760001-170790000	6:170880001-170910000	0.0284	0.5	S159P2
6	170900002	170900042	5				chr6_10	chr6_50	0.0284		S159P2
7	45000	57615000	1765				7:30001-60000	7:57600001-57630000	0.61116657223796	0.5	S159P2
7	62625000	159105000	2890				7:62610001-62640000	7:159090001-159120000	0.60980553633218	0.5	S159P2
8	195000	146115000	4523				8:180001-210000	8:146100001-146130000	0.477943179305771	0.5	S159P2
8	146145000	146295000	11				8:146130001-146160000	8:146280001-146310000	0.468727272727273	0.5	S159P2
9	225000	38775000	1240				9:210001-240000	9:38760001-38790000	-0.962559677419355	0.5	S159P2
9	71055000	140115000	2214				9:71040001-71070000	9:140100001-140130000	0.943590785907859	0.5	S159P2
9	140145000	140415000	15				9:140130001-140160000	9:140400001-140430000	0.407266666666667	0.5	S159P2
9	140445000	140985000	16				9:140430001-140460000	9:140970001-141000000	0.642125	0.5	S159P2
10	135000	135405000	4043				10:120001-150000	10:135390001-135420000	-0.338584219638882	0.5	S159P2
11	225000	134925000	4084				11:210001-240000	11:134910001-134940000	0.0400964740450539	0.5	S159P2
12	195000	133815000	4171				12:180001-210000	12:133800001-133830000	0.0330261328218653	0.5	S159P2
13	19545000	115095000	3071				13:19530001-19560000	13:115080001-115110000	0.022661348095083	0.5	S159P2
14	20205000	107295000	2809				14:20190001-20220000	14:107280001-107310000	0.0492883588465646	0.5	S159P2
15	22335000	102375000	2437				15:22320001-22350000	15:102360001-102390000	0.0193262207632335	0.5	S159P2
16	105000	35115000	901				16:90001-120000	16:35100001-35130000	0.0058834628190899	0.5	S159P2
16	46545000	90135000	1396				16:46530001-46560000	16:90120001-90150000	0.0274620343839542	0.5	S159P2
17	15000	78615000	2265				17:1-30000	17:78600001-78630000	-1.84039205298013	0.5	S159P2
17	78645000	78915000	15				17:78630001-78660000	17:78900001-78930000	0.0121333333333333	0.5	S159P2
17	78945000	81075000	70				17:78930001-78960000	17:81060001-81090000	0.0103857142857143	0.5	S159P2
18	165000	78015000	2413				18:150001-180000	18:78000001-78030000	-0.7297472026523	0.5	S159P2
19	285000	58935000	1583				19:270001-300000	19:58920001-58950000	-0.375184459886292	0.5	S159P2
19	58965000	59085000	5				19:58950001-58980000	19:59070001-59100000	-0.015	0.5	S159P2
19	63811661	63811701	5				chr19_10	chr19_50	-0.015		S159P2
20	75000	62895000	1933				20:60001-90000	20:62880001-62910000	0.602258665287118	0.5	S159P2
21	15495000	48075000	1063				21:15480001-15510000	21:48060001-48090000	-0.3387789275635	0.5	S159P2
22	17295000	51165000	1020				22:17280001-17310000	22:51150001-51180000	0.0209029126213592	0.5	S159P2
X	154913764	154913804	5				chrX_10	chrX_50	0.0209029126213592		S159P2
Y	57772964	57773004	5				chrY_10	chrY_50	0.0209029126213592		S159P2
