Chr	BeginPos	EndPos	NbrOfProbes	CN	CN_Allel1	CN_Allel2	BeginRS	EndRS	LogR	BAF	SampleName
1	855000	121335000	3785				1:840001-870000	1:121320001-121350000	0.00183091149273448	0.5	SL14Skin
1	145395000	249195000	3211				1:145380001-145410000	1:249180001-249210000	-0.0059458112737465	0.5	SL14Skin
2	45000	89115000	2863				2:30001-60000	2:89100001-89130000	-0.000405867970660147	0.5	SL14Skin
2	95595000	242985000	4628				2:95580001-95610000	2:242970001-243000000	-0.0029248055315471	0.5	SL14Skin
3	105000	197805000	6288				3:90001-120000	3:197790001-197820000	8.86699507389161e-05	0.5	SL14Skin
3	199501837	199501877	5				chr3_10	chr3_50	8.86699507389161e-05		SL14Skin
4	105000	190425000	5993				4:90001-120000	4:190410001-190440000	-2.05241865509761	0.5	SL14Skin
4	190455000	190785000	5				4:190440001-190470000	4:190770001-190800000	0.0443	0.5	SL14Skin
4	191273073	191273113	5				chr4_10	chr4_50	0.0443		SL14Skin
5	75000	180675000	5612				5:60001-90000	5:180660001-180690000	-0.00219440982730995	0.5	SL14Skin
5	180857876	180857916	5				chr5_10	chr5_50	-0.00219440982730995		SL14Skin
6	225000	170745000	5349				6:210001-240000	6:170730001-170760000	-25.4218624041877	0.5	SL14Skin
6	170775000	170895000	5				6:170760001-170790000	6:170880001-170910000	-5e-04	0.5	SL14Skin
6	170900002	170900042	5				chr6_10	chr6_50	-5e-04		SL14Skin
7	45000	57615000	1765				7:30001-60000	7:57600001-57630000	-0.00243682719546742	0.5	SL14Skin
7	62625000	159105000	2890				7:62610001-62640000	7:159090001-159120000	-0.0051757785467128	0.5	SL14Skin
8	195000	146295000	4534				8:180001-210000	8:146280001-146310000	-0.000919276576973974	0.5	SL14Skin
9	225000	38775000	1240				9:210001-240000	9:38760001-38790000	-0.00605	0.5	SL14Skin
9	71055000	140985000	2245				9:71040001-71070000	9:140970001-141000000	-0.000439198218262806	0.5	SL14Skin
10	135000	135405000	4043				10:120001-150000	10:135390001-135420000	-0.00360746970071729	0.5	SL14Skin
11	225000	134925000	4084				11:210001-240000	11:134910001-134940000	-0.00128819784524976	0.5	SL14Skin
12	195000	133815000	4171				12:180001-210000	12:133800001-133830000	0.000131862862622872	0.5	SL14Skin
13	19545000	115095000	3071				13:19530001-19560000	13:115080001-115110000	-0.00911038749592966	0.5	SL14Skin
14	20205000	107295000	2809				14:20190001-20220000	14:107280001-107310000	-0.0010185119259523	0.5	SL14Skin
15	22335000	102375000	2437				15:22320001-22350000	15:102360001-102390000	-0.00702954452195322	0.5	SL14Skin
16	105000	35115000	901				16:90001-120000	16:35100001-35130000	0.000500554938956715	0.5	SL14Skin
16	46545000	90135000	1396				16:46530001-46560000	16:90120001-90150000	-0.00191905444126075	0.5	SL14Skin
17	15000	78615000	2265				17:1-30000	17:78600001-78630000	-1.85603443708609	0.5	SL14Skin
17	78645000	78915000	15				17:78630001-78660000	17:78900001-78930000	-0.00946666666666666	0.5	SL14Skin
17	78945000	81075000	70				17:78930001-78960000	17:81060001-81090000	0.00107142857142857	0.5	SL14Skin
18	165000	78015000	2413				18:150001-180000	18:78000001-78030000	-0.00429714048901782	0.5	SL14Skin
19	285000	59085000	1588				19:270001-300000	19:59070001-59100000	0.00752605147520402	0.5	SL14Skin
19	63811661	63811701	5				chr19_10	chr19_50	0.00752605147520402		SL14Skin
20	75000	62895000	1933				20:60001-90000	20:62880001-62910000	-0.00241800310398345	0.5	SL14Skin
21	15495000	48075000	1063				21:15480001-15510000	21:48060001-48090000	-0.0039379115710254	0.5	SL14Skin
22	17295000	51165000	1020				22:17280001-17310000	22:51150001-51180000	-0.00125728155339806	0.5	SL14Skin
X	154913764	154913804	5				chrX_10	chrX_50	-0.00125728155339806		SL14Skin
Y	57772964	57773004	5				chrY_10	chrY_50	-0.00125728155339806		SL14Skin
