Sample	Chromosome	Start.bp	End.bp	Num.Markers	Seg.CN
S14P1   	1	855000	249195000	22430	0.000000
S14P1   	2	45000	242985000	23646	0.000000
S14P1   	3	105000	197805000	19769	0.000000
S14P1   	4	105000	190785000	19067	0.000000
S14P1   	5	75000	180675000	18059	0.000000
S14P1   	6	225000	170895000	17066	0.000000
S14P1   	7	45000	159105000	15403	0.000000
S14P1   	8	195000	146115000	14593	0.000000
S14P1   	8	146145000	146295000	16	0.927065
S14P1   	9	225000	140985000	10846	0.000000
S14P1   	10	135000	135405000	13526	0.000000
S14P1   	11	225000	134925000	13467	0.000000
S14P1   	12	195000	133815000	13359	0.000000
S14P1   	13	19545000	115095000	9556	0.000000
S14P1   	14	20205000	107295000	8710	0.000000
S14P1   	15	22335000	102375000	8001	0.000000
S14P1   	16	105000	90135000	7862	0.000000
S14P1   	17	15000	81075000	8103	0.000000
S14P1   	18	165000	78015000	7782	0.000000
S14P1   	19	285000	59085000	5879	0.000000
S14P1   	20	75000	62895000	6279	0.000000
S14P1   	21	15495000	48075000	3252	0.000000
S14P1   	22	17295000	51165000	3388	0.000000
S142P1  	1	855000	249195000	22430	0.000000
S142P1  	2	45000	242775000	23627	0.000000
S142P1  	2	242805000	242985000	19	-0.226563
S142P1  	3	105000	197655000	19756	0.000000
S142P1  	3	197685000	197805000	13	0.514375
S142P1  	4	105000	190785000	19067	0.000000
S142P1  	5	75000	180675000	18059	0.000000
S142P1  	6	225000	170895000	17066	0.000000
S142P1  	7	45000	159105000	15403	0.000000
S142P1  	8	195000	146295000	14609	0.000000
S142P1  	9	225000	140985000	10846	0.000000
S142P1  	10	135000	135405000	13526	0.000000
S142P1  	11	225000	134925000	13467	0.000000
S142P1  	12	195000	133815000	13359	0.000000
S142P1  	13	19545000	115095000	9556	0.000000
S142P1  	14	20205000	107295000	8710	0.000000
S142P1  	15	22335000	102375000	8001	0.000000
S142P1  	16	105000	90135000	7862	0.000000
S142P1  	17	15000	81075000	8103	0.000000
S142P1  	18	165000	75945000	7579	0.000000
S142P1  	18	75975000	76245000	28	-0.133831
S142P1  	18	76275000	78015000	175	-0.342459
S142P1  	19	285000	59085000	5879	0.000000
S142P1  	20	75000	62895000	6279	0.000000
S142P1  	21	15495000	48075000	3252	0.000000
S142P1  	22	17295000	51165000	3388	0.000000
S142P2C 	1	855000	249195000	22430	0.000000
S142P2C 	2	45000	242775000	23627	0.000000
S142P2C 	2	242805000	242985000	19	-0.151399
S142P2C 	3	105000	197805000	19769	0.000000
S142P2C 	4	105000	190425000	19033	0.000000
S142P2C 	4	190455000	190785000	34	0.121964
S142P2C 	5	75000	180675000	18059	0.000000
S142P2C 	6	225000	170745000	17053	0.000000
S142P2C 	6	170775000	170895000	13	0.129331
S142P2C 	7	45000	159105000	15403	0.000000
S142P2C 	8	195000	146115000	14593	0.000000
S142P2C 	8	146145000	146295000	16	0.585683
S142P2C 	9	225000	140985000	10846	0.000000
S142P2C 	10	135000	135405000	13526	0.000000
S142P2C 	11	225000	134925000	13467	0.000000
S142P2C 	12	195000	133815000	13359	0.000000
S142P2C 	13	19545000	115095000	9556	0.000000
S142P2C 	14	20205000	107295000	8710	0.000000
S142P2C 	15	22335000	102375000	8001	0.000000
