Chr	BeginPos	EndPos	NbrOfProbes	CN	CN_Allel1	CN_Allel2	BeginRS	EndRS	LogR	BAF	SampleName
1	855000	121335000	3785				1:840001-870000	1:121320001-121350000	0.0399458388375165	0.5	S142P2C
1	145395000	249195000	3211				1:145380001-145410000	1:249180001-249210000	0.0328302709436313	0.5	S142P2C
2	45000	89115000	2863				2:30001-60000	2:89100001-89130000	-0.000231225986727209	0.5	S142P2C
2	95595000	242775000	4616				2:95580001-95610000	2:242760001-242790000	-0.333235268630849	0.5	S142P2C
2	242805000	242985000	12				2:242790001-242820000	2:242970001-243000000	-0.477833333333333	0.5	S142P2C
3	105000	197655000	6283				3:90001-120000	3:197640001-197670000	-0.674512175712239	0.5	S142P2C
3	197685000	197805000	5				3:197670001-197700000	3:197790001-197820000	0.341	0.5	S142P2C
3	199501837	199501877	5				chr3_10	chr3_50	0.341		S142P2C
4	105000	190425000	5993				4:90001-120000	4:190410001-190440000	-2.03449591189721	0.5	S142P2C
4	190455000	190785000	5				4:190440001-190470000	4:190770001-190800000	0.0854	0.5	S142P2C
4	191273073	191273113	5				chr4_10	chr4_50	0.0854		S142P2C
5	75000	180675000	5612				5:60001-90000	5:180660001-180690000	-0.0229522876980595	0.5	S142P2C
5	180857876	180857916	5				chr5_10	chr5_50	-0.0229522876980595		S142P2C
6	225000	170745000	5349				6:210001-240000	6:170730001-170760000	-26.0065378575435	0.5	S142P2C
6	170775000	170895000	5				6:170760001-170790000	6:170880001-170910000	0.0904	0.5	S142P2C
6	170900002	170900042	5				chr6_10	chr6_50	0.0904		S142P2C
7	45000	57615000	1765				7:30001-60000	7:57600001-57630000	0.0206203966005666	0.5	S142P2C
7	62625000	159105000	2890				7:62610001-62640000	7:159090001-159120000	0.0179512110726644	0.5	S142P2C
8	195000	146115000	4523				8:180001-210000	8:146100001-146130000	-0.528994251602918	0.5	S142P2C
8	146145000	146295000	11				8:146130001-146160000	8:146280001-146310000	0.370545454545455	0.5	S142P2C
9	225000	38775000	1240				9:210001-240000	9:38760001-38790000	-4.92883951612903	0.5	S142P2C
9	71055000	140985000	2245				9:71040001-71070000	9:140970001-141000000	0.019626280623608	0.5	S142P2C
10	135000	135405000	4043				10:120001-150000	10:135390001-135420000	-0.110178580262182	0.5	S142P2C
11	225000	134925000	4084				11:210001-240000	11:134910001-134940000	0.0208920176297747	0.5	S142P2C
12	195000	132195000	4122				12:180001-210000	12:132180001-132210000	-0.477721251819505	0.5	S142P2C
12	132225000	132495000	15				12:132210001-132240000	12:132480001-132510000	0.0688	0.5	S142P2C
12	132525000	133815000	34				12:132510001-132540000	12:133800001-133830000	0.0907058823529412	0.5	S142P2C
13	19545000	115095000	3071				13:19530001-19560000	13:115080001-115110000	0.00753533051123413	0.5	S142P2C
14	20205000	107295000	2809				14:20190001-20220000	14:107280001-107310000	-0.139183339266643	0.5	S142P2C
15	22335000	102375000	2437				15:22320001-22350000	15:102360001-102390000	0.014427985227739	0.5	S142P2C
16	105000	35115000	901				16:90001-120000	16:35100001-35130000	0.0251764705882353	0.5	S142P2C
16	46545000	90135000	1396				16:46530001-46560000	16:90120001-90150000	0.00454441260744986	0.5	S142P2C
17	15000	78615000	2265				17:1-30000	17:78600001-78630000	-4.70815761589404	0.5	S142P2C
17	78645000	78915000	15				17:78630001-78660000	17:78900001-78930000	0.0296	0.5	S142P2C
17	78945000	81075000	70				17:78930001-78960000	17:81060001-81090000	0.0435142857142857	0.5	S142P2C
18	165000	75945000	2341				18:150001-180000	18:75930001-75960000	-0.569646304997864	0.5	S142P2C
18	75975000	76245000	15				18:75960001-75990000	18:76230001-76260000	-0.639666666666667	0.5	S142P2C
18	76275000	78015000	57				18:76260001-76290000	18:78000001-78030000	-0.849087719298246	0.5	S142P2C
19	285000	58935000	1583				19:270001-300000	19:58920001-58950000	-2.47337018319646	0.5	S142P2C
19	58965000	59085000	5				19:58950001-58980000	19:59070001-59100000	-0.488	0.5	S142P2C
19	63811661	63811701	5				chr19_10	chr19_50	-0.488		S142P2C
20	75000	62895000	1933				20:60001-90000	20:62880001-62910000	-0.0588572167615106	0.5	S142P2C
21	15495000	48075000	1063				21:15480001-15510000	21:48060001-48090000	-0.609659454374412	0.5	S142P2C
22	17295000	51165000	1020				22:17280001-17310000	22:51150001-51180000	-0.0395650485436893	0.5	S142P2C
X	154913764	154913804	5				chrX_10	chrX_50	-0.0395650485436893		S142P2C
Y	57772964	57773004	5				chrY_10	chrY_50	-0.0395650485436893		S142P2C
