Chr	BeginPos	EndPos	NbrOfProbes	CN	CN_Allel1	CN_Allel2	BeginRS	EndRS	LogR	BAF	SampleName
1	855000	121335000	3785				1:840001-870000	1:121320001-121350000	0.37237965653897	0.5	SCS18P5
1	145395000	249195000	3211				1:145380001-145410000	1:249180001-249210000	-0.0991329803799439	0.5	SCS18P5
2	45000	89115000	2863				2:30001-60000	2:89100001-89130000	-0.210163115612993	0.5	SCS18P5
2	95595000	242985000	4628				2:95580001-95610000	2:242970001-243000000	-0.264618193604149	0.5	SCS18P5
3	105000	197655000	6283				3:90001-120000	3:197640001-197670000	-0.293753143402833	0.5	SCS18P5
3	197685000	197805000	5				3:197670001-197700000	3:197790001-197820000	0.0615	0.5	SCS18P5
3	199501837	199501877	5				chr3_10	chr3_50	0.0615		SCS18P5
4	105000	190425000	5993				4:90001-120000	4:190410001-190440000	-1.55143801101285	0.5	SCS18P5
4	190455000	190785000	5				4:190440001-190470000	4:190770001-190800000	0.3634	0.5	SCS18P5
4	191273073	191273113	5				chr4_10	chr4_50	0.3634		SCS18P5
5	75000	180675000	5612				5:60001-90000	5:180660001-180690000	-0.175965996083318	0.5	SCS18P5
5	180857876	180857916	5				chr5_10	chr5_50	-0.175965996083318		SCS18P5
6	225000	170745000	5349				6:210001-240000	6:170730001-170760000	-26.3941031968592	0.5	SCS18P5
6	170775000	170895000	5				6:170760001-170790000	6:170880001-170910000	-0.1732	0.5	SCS18P5
6	170900002	170900042	5				chr6_10	chr6_50	-0.1732		SCS18P5
7	45000	57615000	1765				7:30001-60000	7:57600001-57630000	0.440118980169972	0.5	SCS18P5
7	62625000	159105000	2890				7:62610001-62640000	7:159090001-159120000	0.490496193771626	0.5	SCS18P5
8	195000	146115000	4523				8:180001-210000	8:146100001-146130000	-0.649335175768295	0.5	SCS18P5
8	146145000	146295000	11				8:146130001-146160000	8:146280001-146310000	0.139272727272727	0.5	SCS18P5
9	225000	38775000	1240				9:210001-240000	9:38760001-38790000	-14.8595951612903	0.5	SCS18P5
9	71055000	140115000	2214				9:71040001-71070000	9:140100001-140130000	-0.69813369467028	0.5	SCS18P5
9	140145000	140415000	15				9:140130001-140160000	9:140400001-140430000	0.315533333333333	0.5	SCS18P5
9	140445000	140985000	16				9:140430001-140460000	9:140970001-141000000	0.6263125	0.5	SCS18P5
10	135000	135405000	4043				10:120001-150000	10:135390001-135420000	-0.289189215928766	0.5	SCS18P5
11	225000	134295000	4059				11:210001-240000	11:134280001-134310000	-0.333355752648436	0.5	SCS18P5
11	134325000	134595000	15				11:134310001-134340000	11:134580001-134610000	-0.649533333333333	0.5	SCS18P5
11	134625000	134925000	10				11:134610001-134640000	11:134910001-134940000	-0.8366	0.5	SCS18P5
12	195000	133815000	4171				12:180001-210000	12:133800001-133830000	-0.276298010069528	0.5	SCS18P5
13	19545000	115095000	3071				13:19530001-19560000	13:115080001-115110000	-0.290697818300228	0.5	SCS18P5
14	20205000	107295000	2809				14:20190001-20220000	14:107280001-107310000	0.00749804200783197	0.5	SCS18P5
15	22335000	102375000	2437				15:22320001-22350000	15:102360001-102390000	0.131327451784982	0.5	SCS18P5
16	105000	35115000	901				16:90001-120000	16:35100001-35130000	0.370906770255272	0.5	SCS18P5
16	46545000	90135000	1396				16:46530001-46560000	16:90120001-90150000	0.420492836676218	0.5	SCS18P5
17	15000	78615000	2265				17:1-30000	17:78600001-78630000	-1.411893598234	0.5	SCS18P5
17	78645000	78915000	15				17:78630001-78660000	17:78900001-78930000	0.0484666666666667	0.5	SCS18P5
17	78945000	81075000	70				17:78930001-78960000	17:81060001-81090000	-0.0644857142857143	0.5	SCS18P5
18	165000	78015000	2413				18:150001-180000	18:78000001-78030000	0.148846663903854	0.5	SCS18P5
19	285000	59085000	1588				19:270001-300000	19:59070001-59100000	-0.0343942247332078	0.5	SCS18P5
19	63811661	63811701	5				chr19_10	chr19_50	-0.0343942247332078		SCS18P5
20	75000	62265000	1907				20:60001-90000	20:62250001-62280000	0.341980073413739	0.5	SCS18P5
20	62295000	62565000	15				20:62280001-62310000	20:62550001-62580000	-0.0706	0.5	SCS18P5
20	62595000	62895000	11				20:62580001-62610000	20:62880001-62910000	-0.0619090909090909	0.5	SCS18P5
21	15495000	46755000	1018				21:15480001-15510000	21:46740001-46770000	-20.2330432220039	0.5	SCS18P5
21	46815000	47085000	15				21:46800001-46830000	21:47070001-47100000	-0.724133333333333	0.5	SCS18P5
21	47115000	48075000	30				21:47100001-47130000	21:48060001-48090000	-0.9123	0.5	SCS18P5
22	17295000	51165000	1020				22:17280001-17310000	22:51150001-51180000	0.647025242718447	0.5	SCS18P5
X	154913764	154913804	5				chrX_10	chrX_50	0.647025242718447		SCS18P5
Y	57772964	57773004	5				chrY_10	chrY_50	0.647025242718447		SCS18P5
